"","x"
"1","Bayview Hunters Point"
"2","Golden Gate Park"
"3","Inner Sunset"
"4","Lincoln Park"
"5","McLaren Park"
"6","Mission Bay"
"7","Potrero Hill"
"8","Presidio"
"9","Seacliff"
"10","Treasure Island"
"11","Twin Peaks"
"12","West of Twin Peaks"
