"","x"
"1","Bernal Heights"
"2","Excelsior/Outer Mission"
"3","Financial District/South Beach/SOMA"
"4","Glen Park/Noe Valley"
"5","Japantown"
"6","Lakeshore"
"7","Oceanview/Merced/Ingleside"
"8","Outer Richmond"
"9","Portola"
"10","Presidio Heights"
"11","Sunset/Parkside"
"12","Visitacion Valley"
