"","x"
"1","Haight Ashbury"
"2","Inner Richmond"
"3","Inner Sunset"
"4","Lone Mountain/USF"
"5","Noe Valley"
"6","North Beach"
"7","Oceanview/Merced/Ingleside"
"8","Outer Mission"
"9","Portola"
"10","Potrero Hill"
"11","Russian Hill"
"12","West of Twin Peaks"
"13","Western Addition"
