"","x"
"1","Bayview Hunters Point"
"2","Financial District/South Beach"
"3","Glen Park"
"4","Golden Gate Park"
"5","Inner Sunset"
"6","Lincoln Park"
"7","McLaren Park"
"8","Mission Bay"
"9","Potrero Hill"
"10","Presidio"
"11","Seacliff"
"12","Treasure Island"
"13","Twin Peaks"
"14","West of Twin Peaks"
