"","x"
"1","Bernal Heights"
"2","Excelsior/Outer Mission"
"3","Glen Park/Noe Valley"
"4","Inner Sunset"
"5","Japantown"
"6","Lakeshore"
"7","Lincoln Park"
"8","North Beach"
"9","Oceanview/Merced/Ingleside"
"10","Outer Richmond"
"11","Portola"
"12","Seacliff"
"13","Sunset/Parkside"
"14","Twin Peaks"
"15","Visitacion Valley"
"16","West of Twin Peaks"
