"","x"
"1","Bayview Hunters Point"
"2","Castro/Upper Market"
"3","Chinatown"
"4","Financial District/South Beach/SOMA"
"5","Haight Ashbury/Hayes Valley"
"6","Inner Richmond"
"7","Lone Mountain/USF"
"8","Marina"
"9","Mission"
"10","Mission Bay"
"11","Nob Hill"
"12","Pacific Heights"
"13","Potrero Hill"
"14","Presidio Heights"
"15","Russian Hill"
"16","Tenderloin"
"17","Western Addition"
