"","x"
"1","Excelsior"
"2","Glen Park"
"3","Japantown"
"4","Lincoln Park"
"5","North Beach"
"6","Oceanview/Merced/Ingleside"
"7","Outer Mission"
"8","Portola"
"9","Seacliff"
"10","Twin Peaks"
"11","Visitacion Valley"
"12","West of Twin Peaks"
