"","x"
"1","Castro/Upper Market"
"2","Chinatown"
"3","Financial District/South Beach"
"4","Hayes Valley"
"5","Mission"
"6","Mission Bay"
"7","Nob Hill"
"8","Pacific Heights"
"9","Potrero Hill"
"10","Presidio Heights"
"11","South of Market"
"12","Tenderloin"
"13","Western Addition"
