"","x"
"1","Bayview Hunters Point"
"2","Excelsior/Outer Mission"
"3","Glen Park"
"4","Inner Richmond"
"5","Oceanview/Merced/Ingleside"
"6","Outer Richmond"
"7","Portola"
"8","San Francisco"
"9","Seacliff"
"10","Sunset/Parkside"
"11","Treasure Island"
"12","Visitacion Valley"
