"","x"
"1","castro"
"2","civic / van ness"
"3","financial district"
"4","hayes valley"
"5","lower haight"
"6","lower pac hts"
"7","marina / cow hollow"
"8","nob hill"
"9","noe valley"
"10","NOPA"
"11","north beach / telegraph hill"
"12","pacific heights"
"13","potrero hill"
"14","russian hill"
"15","SOMA / south beach"
"16","tenderloin"
