"","x"
"1","bayview"
"2","candlestick point"
"3","CCSF"
"4","excelsior / outer mission"
"5","glen park"
"6","ingleside"
"7","inner richmond"
"8","outer richmond"
"9","outer sunset"
"10","parkside"
"11","portola"
"12","san francisco"
"13","sea cliff"
"14","treasure island"
"15","visitacion valley"
