"","x"
"1","alamo square"
"2","bernal"
"3","cole valley"
"4","diamond heights"
"5","downtown"
"6","haight ashbury"
"7","hunters point"
"8","inner sunset"
"9","lakeshore"
"10","mission district"
"11","presidio hts / laurel hts / lake st"
"12","twin peaks"
"13","USF / anza vista"
"14","west portal / forest hills"
"15","western addition"
