"","x"
"1","bayview"
"2","bernal"
"3","candlestick point"
"4","CCSF"
"5","diamond heights"
"6","downtown"
"7","excelsior / outer mission"
"8","glen park"
"9","haight ashbury"
"10","ingleside"
"11","inner richmond"
"12","inner sunset"
"13","lakeshore"
"14","outer richmond"
"15","outer sunset"
"16","parkside"
"17","portola"
"18","san francisco"
"19","sea cliff"
"20","treasure island"
"21","USF / anza vista"
"22","visitacion valley"
"23","west portal / forest hills"
