"","x"
"1","Bayview Hunters Point"
"2","Excelsior/Outer Mission"
"3","Glen Park"
"4","Glen Park/Noe Valley"
"5","Haight Ashbury"
"6","Inner Richmond"
"7","Inner Sunset"
"8","Lakeshore"
"9","Oceanview/Merced/Ingleside"
"10","Outer Richmond"
"11","Portola"
"12","San Francisco"
"13","Seacliff"
"14","Sunset/Parkside"
"15","Treasure Island"
"16","Visitacion Valley"
"17","West of Twin Peaks"
