"","x"
"1","Bayview Hunters Point"
"2","Financial District/South Beach/SOMA"
"3","Glen Park/Noe Valley"
"4","Golden Gate Park"
"5","Inner Sunset"
"6","Lincoln Park"
"7","McLaren Park"
"8","Mission Bay"
"9","Oceanview/Merced/Ingleside"
"10","Portola"
"11","Potrero Hill"
"12","Presidio"
"13","Presidio Heights"
"14","Seacliff"
"15","Sunset/Parkside"
"16","Treasure Island"
"17","Twin Peaks"
"18","West of Twin Peaks"
