"","x"
"1","Bayview Hunters Point"
"2","Financial District/South Beach"
"3","Glen Park"
"4","Golden Gate Park"
"5","Inner Sunset"
"6","Lakeshore"
"7","Lincoln Park"
"8","McLaren Park"
"9","Mission Bay"
"10","Oceanview/Merced/Ingleside"
"11","Portola"
"12","Potrero Hill"
"13","Presidio"
"14","Presidio Heights"
"15","Seacliff"
"16","Sunset/Parkside"
"17","Treasure Island"
"18","Twin Peaks"
"19","Visitacion Valley"
"20","West of Twin Peaks"
