"","nhood","city","county","price","beds","baths","sqft","room_in_apt","address","lat","lon","d"
"1286","alamo square","san francisco","san francisco",2085,1,NA,NA,0,NA,NA,NA,2007-01-28
"1288","alamo square","san francisco","san francisco",1495,1,NA,NA,0,NA,NA,NA,2005-03-03
"1289","alamo square","san francisco","san francisco",1950,2,NA,NA,0,NA,NA,NA,2005-03-03
"1291","alamo square","san francisco","san francisco",2110,1,NA,635,0,NA,NA,NA,2011-12-11
"1292","alamo square","san francisco","san francisco",1400,2,NA,NA,0,NA,NA,NA,2004-08-22
"1294","alamo square","san francisco","san francisco",2300,1,NA,530,0,NA,NA,NA,2011-12-12
"1295","alamo square","san francisco","san francisco",1275,1,NA,NA,0,NA,NA,NA,2004-08-26
"1296","alamo square","san francisco","san francisco",2095,2,NA,NA,0,NA,NA,NA,2004-08-26
"1300","alamo square","san francisco","san francisco",2095,1,NA,NA,0,NA,NA,NA,2007-09-03
"1301","alamo square","san francisco","san francisco",3795,4,NA,NA,0,NA,NA,NA,2007-09-11
"1302","alamo square","san francisco","san francisco",2025,1,NA,NA,0,NA,NA,NA,2004-09-01
"1303","alamo square","san francisco","san francisco",1475,1,NA,NA,0,NA,NA,NA,2005-04-23
"1304","alamo square","san francisco","san francisco",1100,1,NA,NA,0,NA,NA,NA,2004-09-02
"1305","alamo square","san francisco","san francisco",1550,1,NA,NA,0,NA,NA,NA,2004-09-02
"1306","alamo square","san francisco","san francisco",4400,3,NA,NA,0,NA,NA,NA,2007-10-11
"1309","alamo square","san francisco","san francisco",1400,1,NA,NA,0,NA,NA,NA,2004-09-05
"1311","alamo square","san francisco","san francisco",1150,1,2,NA,0,NA,NA,NA,2004-09-06
"1312","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2004-09-06
"1315","alamo square","san francisco","san francisco",1900,1,NA,NA,0,NA,NA,NA,2004-09-06
"1317","alamo square","san francisco","san francisco",2500,1,NA,NA,0,NA,NA,NA,2011-12-23
"1321","alamo square","san francisco","san francisco",1550,1,NA,NA,0,NA,NA,NA,2004-09-12
"1322","alamo square","san francisco","san francisco",1695,2,NA,1100,0,NA,NA,NA,2004-09-12
"1323","alamo square","san francisco","san francisco",2800,2,2,NA,0,NA,NA,NA,2007-10-26
"1324","alamo square","san francisco","san francisco",1350,1,NA,NA,0,NA,NA,NA,2004-09-15
"1326","alamo square","san francisco","san francisco",1450,1,NA,NA,0,NA,NA,NA,2004-09-17
"1328","alamo square","san francisco","san francisco",1600,1,NA,NA,0,NA,NA,NA,2004-09-19
"1329","alamo square","san francisco","san francisco",1850,1,1,NA,0,NA,NA,NA,2008-01-22
"1331","alamo square","san francisco","san francisco",2900,3,NA,NA,0,NA,NA,NA,2006-02-08
"1334","alamo square","san francisco","san francisco",975,1,1,NA,0,NA,NA,NA,2004-10-13
"1336","alamo square","san francisco","san francisco",1750,2,NA,NA,0,NA,NA,NA,2004-10-14
"1337","alamo square","san francisco","san francisco",2895,1,NA,NA,0,NA,NA,NA,2014-08-17
"1338","alamo square","san francisco","san francisco",2945,1,NA,NA,0,NA,NA,NA,2014-08-17
"1339","alamo square","san francisco","san francisco",2400,2,NA,NA,0,NA,NA,NA,2008-06-14
"1340","alamo square","san francisco","san francisco",1295,1,NA,NA,0,NA,NA,NA,2004-10-17
"1342","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2004-11-30
