"","x"
"1","Bernal Heights"
"2","Glen Park/Noe Valley"
"3","Haight Ashbury"
"4","Inner Sunset"
"5","Lakeshore"
"6","Lone Mountain/USF"
"7","Mission"
"8","Presidio Heights"
"9","Twin Peaks"
"10","West of Twin Peaks"
"11","Western Addition"
