"","x"
"1","Chinatown"
"2","Financial District/South Beach"
"3","Glen Park"
"4","Golden Gate Park"
"5","Japantown"
"6","Lincoln Park"
"7","McLaren Park"
"8","Mission Bay"
"9","Presidio"
"10","Presidio Heights"
"11","Seacliff"
"12","Treasure Island"
"13","Twin Peaks"
"14","Visitacion Valley"
