"","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","month","year"
"233950","68","8",1016,"","LOMBARD","ST",1,"01","2009"
"233951","68","8",1018,"","LOMBARD","ST",1,"01","2009"
"233988","1166","8",2636,"","MCALLISTER","ST",1,"01","2009"
"233990","3641","010B",2778,"","FOLSOM","ST",1,"01","2009"
"234022","3651","36",3841,"","23RD","ST",1,"01","2009"
"234052","3588","5",736,"","VALENCIA","ST",8,"01","2009"
"234404","196","8",580,"","WASHINGTON","ST",9,"01","2009"
"234968","1291","23",1400,"","COLE","ST",1,"01","2009"
"234969","1291","23",1402,"","COLE","ST",1,"01","2009"
"235423","1481","19",192,"","SEAL ROCK","DR",1,"01","2009"
"235534","3641","010B",2778,"","FOLSOM","ST",1,"01","2009"
"235797","4210","13",1196,"","HAMPSHIRE","ST",1,"01","2010"
"235813","1451","32",354,"","20TH","AV",1,"01","2010"
"235829","947","24",2760,"","BAKER","ST",1,"01","2010"
"236764","6272","18",4847,"","MISSION","ST",1,"01","2010"
"236765","6272","18",4849,"","MISSION","ST",1,"01","2010"
"236898","3614","53",711,"","SHOTWELL","ST",1,"01","2010"
"236901","183","37",1233,"","PACIFIC","AV",1,"01","2010"
"236902","183","37",1235,"","PACIFIC","AV",1,"01","2010"
"237381","2044","003A",1864,"","08TH","AV",1,"01","2011"
"237382","1684","4",852,"","42ND","AV",1,"01","2011"
"237429","3513","208",150,"","OTIS","ST",76,"01","2011"
"237433","7105","15",290,"","FARALLONES","ST",1,"01","2011"
"237436","6692","65",84,"","RICHLAND","AV",1,"01","2011"
"237625","345","4",220,"","GOLDEN GATE","AV",71,"01","2011"
"237920","4075","1",700,"","VERMONT","ST",2,"01","2011"
"238921","1558","013B",557,"","15TH","AV",1,"01","2011"
"239142","282","10",834,"","JONES","ST",3,"07","2007"
"239165","4009","008A",585,"","KANSAS","ST",1,"07","2007"
"239173","1837","2",1419,"","16TH","AV",1,"07","2007"
"239220","919","001C",3639,"","DIVISADERO","ST",1,"07","2007"
"239225","4336","22",2955,"","26TH","ST",1,"07","2007"
"239262","3548","58",245,"","14TH","ST",2,"07","2007"
"239263","3548","58",249,"A","14TH","ST",2,"07","2007"
"239370","3633","23",3373,"","22ND","ST",1,"07","2007"
"240489","1567","34",3321,"","ANZA","ST",1,"07","2007"
"242086","2330","005E",2243,"","19TH","AV",1,"07","2008"
"242089","3731","74",1049,"","HOWARD","ST",25,"07","2008"
"242092","2409","39",631,"","TARAVAL","ST",5,"07","2008"
"242093","2409","39",633,"","TARAVAL","ST",5,"07","2008"
"242094","2409","40",631,"","TARAVAL","ST",5,"07","2008"
"242095","2409","40",633,"","TARAVAL","ST",5,"07","2008"
"242096","4010","001O",542,"","KANSAS","ST",1,"07","2008"
"242099","339","6",130,"","TURK","ST",9,"07","2008"
"242143","6525","3",2914,"A","FOLSOM","ST",1,"07","2008"
"242152","196","18",38,"","HOTALING","PL",1,"07","2008"
"242172","3704","69",973,"","MARKET","ST",1,"07","2008"
"242185","611","27",2541,"","WASHINGTON","ST",1,"07","2008"
"242271","6156","19",3148,"","SAN BRUNO","AV",1,"07","2008"
"242496","4224","24",1062,"","MISSISSIPPI","ST",1,"07","2008"
"242578","99","005C",960,"","UNION","ST",1,"07","2008"
"242729","1403","32",6847,"","CALIFORNIA","ST",1,"07","2008"
"242730","1403","32",6849,"","CALIFORNIA","ST",1,"07","2008"
"243036","1377","34",146,"","18TH","AV",1,"07","2008"
"243039","1377","34",146,"","18TH","AV",1,"07","2008"
"244561","4009","008A",585,"","KANSAS","ST",1,"07","2008"
"244640","1648","17",2900,"","FULTON","ST",4,"07","2009"
"244677","3583","82",4035,"","18TH","ST",1,"07","2009"
"244705","3753","27",980,"","HARRISON","ST",1,"07","2009"
"244728","3649","11",1090,"","DOLORES","ST",1,"07","2009"
"245255","778","15",1357,"A","MCALLISTER","ST",1,"07","2009"
"245256","778","15",1357,"","MCALLISTER","ST",1,"07","2009"
"245257","778","15",1359,"","MCALLISTER","ST",1,"07","2009"
"245258","778","15",1361,"","MCALLISTER","ST",1,"07","2009"
"245673","2617","15",100,"","CLIFFORD","TR",1,"07","2009"
"246305","6581","30",1803,"","CASTRO","ST",1,"07","2009"
"246843","1510","13",563,"","34TH","AV",1,"07","2010"
"246865","3548","7",340,"","SOUTH VAN NESS","AV",1,"07","2010"
"246866","3548","7",342,"","SOUTH VAN NESS","AV",1,"07","2010"
"246910","6618","4",1562,"","DOLORES","ST",1,"07","2010"
"246914","1637","28",638,"","08TH","AV",1,"07","2010"
"247324","3733","28",894,"","FOLSOM","ST",1,"07","2010"
"248129","6581","30",1803,"","CASTRO","ST",1,"07","2010"
"248130","6581","30",1803,"","CASTRO","ST",1,"07","2010"
"248490","4074","011A",775,"","VERMONT","ST",1,"07","2010"
"248906","119","25",1812,"","TAYLOR","ST",1,"07","2011"
"248907","119","25",1814,"","TAYLOR","ST",1,"07","2011"
"248911","1086","6",253,"","PARKER","AV",1,"07","2011"
"248920","3753","8",372,"","05TH","ST",44,"07","2011"
"248921","3753","8",378,"","05TH","ST",44,"07","2011"
"248922","1615","3",727,"","29TH","AV",1,"07","2011"
"248924","2649","13",76,"","DIAMOND","ST",1,"07","2011"
"248932","7112","10",50,"","SADOWA","ST",1,"07","2011"
"248946","6692","63",76,"","RICHLAND","AV",1,"07","2011"
"248952","3548","7",338,"","SOUTH VAN NESS","AV",1,"07","2011"
"248953","3548","7",340,"","SOUTH VAN NESS","AV",1,"07","2011"
"248954","3548","7",342,"","SOUTH VAN NESS","AV",1,"07","2011"
"248976","3788","12",178,"","TOWNSEND","ST",94,"07","2011"
"249989","1550","29",646,"","BALBOA","ST",2,"07","2011"
"250728","4075","1",700,"","VERMONT","ST",2,"07","2011"
"250729","4075","1",700,"","VERMONT","ST",2,"07","2011"
"250892","1761","34",1314,"","07TH","AV",1,"06","2007"
"250895","1778","30",1358,"","24TH","AV",1,"06","2007"
"250896","1934","4",1629,"","09TH","AV",1,"06","2007"
"250902","6084","17",466,"","LONDON","ST",1,"06","2007"
"250903","3610","5",942,"","SOUTH VAN NESS","AV",2,"06","2007"
"250910","1546","35",516,"","04TH","AV",1,"06","2007"
"250911","1738","31",1260,"","FUNSTON","AV",1,"06","2007"
"250913","1457","030E",432,"","26TH","AV",1,"06","2007"
"250914","1457","030E",430,"","26TH","AV",1,"06","2007"
"250924","1523","12",457,"","21ST","AV",1,"06","2007"
"250957","4160","59",1033,"","DE HARO","ST",1,"06","2007"
"250986","6664","57",221,"","RANDALL","ST",1,"06","2007"
"251361","478","11",1290,"","CHESTNUT","ST",2,"06","2007"
"252107","6936","004A",20,"","DE MONTFORT","AV",1,"06","2007"
"252120","6505","16",524,"","JERSEY","ST",1,"06","2007"
"253096","2764","21",3715,"","MARKET","ST",1,"06","2007"
"253484","1517","25",538,"","28TH","AV",1,"06","2007"
"253485","1517","25",536,"","28TH","AV",1,"06","2007"
"253655","1201","56",1358,"","HAYES","ST",3,"06","2007"
"253738","1609","014D",3450,"","CABRILLO","ST",1,"06","2008"
"253739","1609","014D",3456,"","CABRILLO","ST",1,"06","2008"
"253812","3598","60",601,"","DOLORES","ST",1,"06","2008"
"253830","6943","7",259,"","BRIGHTON","AV",1,"06","2008"
"253984","267","16",160,"","SANSOME","ST",2,"06","2008"
"254205","2617","15",100,"","CLIFFORD","TR",1,"06","2008"
"254317","3597","26",3676,"","20TH","ST",1,"06","2008"
"254556","1452","33",342,"","21ST","AV",1,"06","2008"
"256112","3652","9",160,"","VICKSBURG","ST",1,"06","2008"
"256293","2695","16",590,"","CASTRO","ST",2,"06","2009"
"256302","6630","31",577,"","29TH","ST",1,"06","2009"
"256319","5513","011A",78,"","PERALTA","AV",1,"06","2009"
"256363","3626","26",3773,"","22ND","ST",1,"06","2009"
"256367","331","14",281,"","ELLIS","ST",1,"06","2009"
"256368","331","14",285,"","ELLIS","ST",1,"06","2009"
"256427","1429","29",266,"","05TH","AV",2,"06","2009"
"257438","2039","45",421,"","MORAGA","ST",1,"06","2009"
"258533","185","20",1490,"","JACKSON","ST",1,"06","2010"
"258534","185","20",1492,"","JACKSON","ST",1,"06","2010"
"258536","3732","89",445,"","TEHAMA","ST",2,"06","2010"
"258537","3732","89",449,"","TEHAMA","ST",2,"06","2010"
"258541","4004","17",1530,"A","18TH","ST",1,"06","2010"
"258550","3733","020A",854,"","FOLSOM","ST",1,"06","2010"
"258551","1550","29",646,"","BALBOA","ST",2,"06","2010"
"258582","1419","3",223,"","14TH","AV",1,"06","2010"
"258595","269","8",340,"","KEARNY","ST",2,"06","2010"
"258737","155","52",5,"","CYRUS","PL",1,"06","2010"
"258748","3612","62",769,"","TREAT","AV",1,"06","2010"
"258771","1005","25",3043,"","CLAY","ST",1,"06","2010"
"258945","1005","25",3043,"","CLAY","ST",1,"06","2010"
"259512","510","29",2157,"","LOMBARD","ST",1,"06","2010"
"259513","510","29",2159,"","LOMBARD","ST",1,"06","2010"
"259733","1648","17",2900,"","FULTON","ST",4,"06","2010"
"260114","1772","13",1621,"","IRVING","ST",2,"06","2010"
"260197","3612","62",769,"","TREAT","AV",1,"06","2010"
"260198","3612","62",771,"","TREAT","AV",1,"06","2010"
"260698","4063","003B",455,"","PENNSYLVANIA","AV",1,NA,NA
"260701","4644","005A",748,"","INNES","AV",4,NA,NA
"260707","2381","1",3401,"","TARAVAL","ST",6,NA,NA
"260723","1778","7",1339,"","23RD","AV",1,NA,NA
"260732","6272","8",552,"","LONDON","ST",1,NA,NA
"260734","1844","18",1485,"","09TH","AV",1,NA,NA
"260760","3633","23",3373,"","22ND","ST",1,NA,NA
"260764","1729","023Q",1242,"","22ND","AV",1,NA,NA
"260785","1706","38",1236,"","45TH","AV",1,NA,NA
"260799","272","001C",725,"","PINE","ST",2,NA,NA
"260863","1806","22",1454,"","48TH","AV",1,NA,NA
"260909","1048","34",2815,"","PINE","ST",1,NA,NA
"260925","4269","15",2917,"","24TH","ST",4,NA,NA
"260926","4269","15",2919,"","24TH","ST",4,NA,NA
"260938","830","23",559,"","FELL","ST",1,NA,NA
"262425","148","11",886,"","BROADWAY","*",2,NA,NA
"263071","5526","7",1646,"","ALABAMA","ST",1,NA,NA
"263349","1412","20",2044,"","CLEMENT","ST",1,NA,NA
"263350","1412","20",2046,"","CLEMENT","ST",1,NA,NA
"263387","1053","12",2564,"","SUTTER","ST",2,NA,NA
"263391","3747","12",325,"","FREMONT","ST",18,NA,NA
"263392","5290","45",1617,"","KIRKWOOD","AV",1,NA,NA
"263394","4106","27",800,"","MINNESOTA","ST",67,NA,NA
"263398","1405","53",337,"","28TH","AV",1,NA,NA
"263450","1865","9",1559,"","19TH","AV",1,NA,NA
"263486","1601","1",701,"","43RD","AV",1,NA,NA
"263493","1615","013J",762,"","30TH","AV",1,NA,NA
"263564","5523","7",3240,"","FOLSOM","ST",1,NA,NA
"263879","6513","14",1259,"","GUERRERO","ST",1,NA,NA
"264258","2611","32",68,"","DIVISADERO","ST",1,NA,NA
"264259","2611","32",70,"","DIVISADERO","ST",1,NA,NA
"264906","1716","001B",1211,"","34TH","AV",1,NA,NA
"265111","4151","23",2417,"","BRYANT","ST",2,NA,NA
"265179","1046","5",1617,"","LYON","ST",1,NA,NA
"265270","6517","29",2837,"","MISSION","ST",6,NA,NA
"265539","1023","4",1815,"","BAKER","ST",1,NA,NA
"265867","4143","8",948,"","HAMPSHIRE","ST",1,NA,NA
"265871","1386","15",279,"","26TH","AV",1,NA,NA
"265872","1386","15",283,"","26TH","AV",1,NA,NA
"265873","4102","52",585,"","TEXAS","ST",1,NA,NA
"265888","3537","87",435,"","DUBOCE","AV",3,NA,NA
"265891","1198","4",417,"","LYON","ST",1,NA,NA
"265912","1795","20",1366,"","41ST","AV",1,NA,NA
"265942","1629","22",676,"","16TH","AV",1,NA,NA
"266049","6084","17",466,"","LONDON","ST",1,NA,NA
"266109","3707","33",74,"","NEW MONTGOMERY","ST",111,NA,NA
"266618","3568","68",141,"","ALBION","ST",1,NA,NA
"266691","1429","29",266,"","05TH","AV",2,NA,NA
"267039","2617","15",100,"","CLIFFORD","TR",1,NA,NA
"267091","297","9",693,"","SUTTER","ST",6,NA,NA
"267794","5421","12",2419,"","MENDELL","ST",2,NA,NA
"267795","5421","12",2421,"","MENDELL","ST",2,NA,NA
"267959","1158","25",736,"","LYON","ST",1,NA,NA
"268050","4075","1",700,"","VERMONT","ST",2,NA,NA
"268091","1568","008B",665,"","25TH","AV",1,NA,NA
"268116","155","52",5,"","CYRUS","PL",1,NA,NA
"268126","4074","011A",775,"","VERMONT","ST",1,NA,NA
"268169","3641","75",926,"","SHOTWELL","ST",1,NA,NA
"268230","1127","64",1816,"","EDDY","ST",19,NA,NA
"268251","6551","3",1266,"","DOLORES","ST",2,NA,NA
"269344","128","2",1655,"","MASON","ST",1,NA,NA
"269555","297","9",693,"","SUTTER","ST",10,NA,NA
"270073","6934","2",539,"","FAXON","AV",1,NA,NA
"270074","6934","2",541,"","FAXON","AV",1,NA,NA
"270283","3507","41",1411,"","MARKET","ST",35,NA,NA
"270293","1219","11",1138,"","PAGE","ST",2,NA,NA
"270294","1219","11",1140,"","PAGE","ST",2,NA,NA
"270296","578","8",2010,"","PACIFIC","AV",1,NA,NA
"270301","3618","71",988,"","GUERRERO","ST",1,NA,NA
"270302","3618","72",990,"","GUERRERO","ST",1,NA,NA
"270433","89","7",1729,"","STOCKTON","ST",2,NA,NA
"270472","3532","14",299,"","VALENCIA","ST",36,NA,NA
"271032","4143","8",948,"","HAMPSHIRE","ST",1,NA,NA
"271177","3537","87",435,"","DUBOCE","AV",3,NA,NA
"271210","6543","12",4529,"","25TH","ST",1,NA,NA
"271830","1618","7",762,"","27TH","AV",1,NA,NA
"271949","223","8",1000,"","MASON","ST",3,NA,NA
"272417","341","5",942,"","MARKET","ST",33,"05","2007"
"272424","1159","40",1940,"","MCALLISTER","ST",1,"05","2007"
"272458","2617","15",100,"","CLIFFORD","TR",1,"05","2007"
"272462","3541","39",53,"","HENRY","ST",1,"05","2007"
"272463","3541","39",55,"","HENRY","ST",1,"05","2007"
"272467","4106","27",800,"","MINNESOTA","ST",67,"05","2007"
"272468","4762","30",1258,"","REVERE","AV",1,"05","2007"
"272522","6505","12",514,"","JERSEY","ST",1,"05","2007"
"272585","4912","2",2826,"","JENNINGS","ST",1,"05","2007"
"272586","4912","2",2838,"","JENNINGS","ST",1,"05","2007"
"272913","839","33",241,"","LILY","ST",1,"05","2007"
"273616","3622","14",3806,"","22ND","ST",1,"05","2007"
"274180","1677","10",859,"","34TH","AV",1,"05","2007"
"275258","4151","23",2417,"","BRYANT","ST",2,"05","2007"
"275954","5745","30",139,"","LEESE","ST",1,"05","2008"
"275959","6543","12",4529,"","25TH","ST",1,"05","2008"
"275984","4991","633",301,"","EXECUTIVE PARK","BL",12,"05","2008"
"275990","220","28",1256,"A","LEAVENWORTH","ST",1,"05","2008"
"275991","220","28",1256,"B","LEAVENWORTH","ST",1,"05","2008"
"275992","220","28",1254,"","LEAVENWORTH","ST",1,"05","2008"
"276017","2039","45",421,"","MORAGA","ST",1,"05","2008"
"276030","1432","5",331,"","ARGUELLO","BL",1,"05","2008"
"276031","6942","48",278,"","GRANADA","AV",1,"05","2008"
"276196","1005","25",3043,"","CLAY","ST",1,"05","2008"
"277648","1428","27",274,"","06TH","AV",2,"05","2008"
"277946","1269","96",139,"","DOWNEY","ST",1,"05","2008"
"278361","5338","56",1765,"","QUESADA","AV",1,"05","2009"
"278366","514","2",3157,"","STEINER","ST",1,"05","2009"
"278379","778","15",1357,"","MCALLISTER","ST",1,"05","2009"
"278380","778","15",1359,"","MCALLISTER","ST",1,"05","2009"
"278381","778","15",1361,"","MCALLISTER","ST",1,"05","2009"
"278456","6090","15",599,"","NAPLES","ST",1,"05","2009"
"278558","196","18",38,"","HOTALING","PL",1,"05","2009"
"278578","1156","23",850,"","BRODERICK","ST",47,"05","2009"
"278604","6943","7",259,"","BRIGHTON","AV",1,"05","2009"
"278642","3618","23",879,"","DOLORES","ST",1,"05","2009"
"278717","4009","008A",585,"","KANSAS","ST",1,"05","2009"
"278871","6943","7",259,"","BRIGHTON","AV",1,"05","2009"
"278986","1453","39",322,"","22ND","AV",2,"05","2009"
"279038","3568","57",439,"","GUERRERO","ST",3,"05","2009"
"279200","1644","11",879,"","ARGUELLO","BL",1,"05","2009"
"279201","1644","11",885,"","ARGUELLO","BL",1,"05","2009"
"279237","2349","31",2342,"","21ST","AV",1,"05","2009"
"279253","4102","52",585,"","TEXAS","ST",1,"05","2009"
"279473","196","26",722,"","MONTGOMERY","ST",12,"05","2009"
"279474","196","26",728,"","MONTGOMERY","ST",12,"05","2009"
"279828","1010","6",3516,"","SACRAMENTO","ST",1,"05","2009"
"279829","1010","6",3518,"","SACRAMENTO","ST",1,"05","2009"
"279945","1073","33",850,"","PRESIDIO","AV",1,"05","2009"
"279946","1073","33",856,"","PRESIDIO","AV",1,"05","2009"
"279947","1073","33",858,"","PRESIDIO","AV",1,"05","2009"
"280172","6664","57",221,"","RANDALL","ST",1,"05","2009"
"280332","2695","026A",NA,"","COLLINGWOOD","ST",1,NA,NA
"280342","3580","35",NA,"","DORLAND","ST",1,NA,NA
"280343","3580","35",NA,"","DORLAND","ST",1,NA,NA
"280350","4144","3",NA,"","YORK","ST",1,NA,NA
"280406","1431","22",NA,"","CLEMENT","ST",2,NA,NA
"280407","1431","22",NA,"","CLEMENT","ST",2,NA,NA
"280534","4075","1",NA,"","VERMONT","ST",2,NA,NA
"280846","3985","27",NA,"","MISSOURI","ST",1,NA,NA
"280847","3985","27",NA,"","MISSOURI","ST",1,NA,NA
"280848","3985","27",NA,"","MISSOURI","ST",1,NA,NA
"280849","3985","27",NA,"","17TH","ST",1,NA,NA
"281159","4096","5",NA,"","CAROLINA","ST",2,NA,NA
"281493","3985","27",NA,"","17TH","ST",1,NA,NA
"282123","6323","008H",NA,"","GENEVA","AV",2,NA,NA
"282359","196","8",580,"","WASHINGTON","ST",9,"11","2007"
"282363","99","005C",960,"","UNION","ST",1,"11","2007"
"282371","3729","51",758,"","CLEMENTINA","ST",2,"11","2007"
"282379","1568","011D",2400,"","BALBOA","ST",1,"11","2007"
"282518","1233","12",1324,"","HAIGHT","ST",1,"11","2007"
"282674","3541","39",53,"","HENRY","ST",1,"11","2007"
"282675","3541","39",55,"","HENRY","ST",1,"11","2007"
"282928","1800","010A",1359,"","45TH","AV",1,"11","2007"
"283003","2807","21",976,"","ELIZABETH","ST",1,"11","2007"
"284284","3652","9",160,"","VICKSBURG","ST",1,"11","2007"
"284709","3612","62",769,"","TREAT","AV",1,"11","2008"
"284710","3612","62",771,"","TREAT","AV",1,"11","2008"
"284711","4211","9",1140,"","POTRERO","AV",2,"11","2008"
"284717","2768","7",446,"","DIAMOND","ST",1,"11","2008"
"284727","1684","002I",6524,"","FULTON","ST",1,"11","2008"
"284758","5341","24",1519,"","REVERE","AV",1,"11","2008"
"284759","3618","23",879,"","DOLORES","ST",1,"11","2008"
"284843","1408","007A",349,"","25TH","AV",2,"11","2008"
"284993","1230","5",529,"","CLAYTON","ST",2,"11","2008"
"284994","1230","5",531,"","CLAYTON","ST",2,"11","2008"
"285129","6517","29",2837,"","MISSION","ST",6,"11","2008"
"285392","507","27",1857,"","LOMBARD","ST",2,"11","2008"
"285690","4762","30",1258,"","REVERE","AV",1,"11","2008"
"286679","3752","54",170,"","CLARA","ST",1,"11","2009"
"286680","3752","54",172,"","CLARA","ST",1,"11","2009"
"286681","3589","26",161,"","SAN CARLOS","ST",1,"11","2009"
"286682","3589","26",163,"","SAN CARLOS","ST",1,"11","2009"
"286686","3537","93",467,"","DUBOCE","AV",1,"11","2009"
"286787","4010","001O",542,"","KANSAS","ST",1,"11","2009"
"286823","792","28",365,"","FULTON","ST",120,"11","2009"
"287224","3608","18",3352,"","21ST","ST",1,"11","2009"
"287225","3608","18",3354,"","21ST","ST",1,"11","2009"
"288112","1429","51",266,"","05TH","AV",2,"11","2009"
"288606","6505","47",4209,"","24TH","ST",1,"11","2010"
"288613","297","9",693,"","SUTTER","ST",1,"11","2010"
"288631","3553","047A",19,"","CAPP","ST",1,"11","2010"
"288741","756","17",1345,"","TURK","ST",32,"11","2010"
"289423","2649","44",4123,"","17TH","ST",1,"11","2010"
"289424","2649","45",4125,"","17TH","ST",1,"11","2010"
"289437","2649","44",4123,"","17TH","ST",1,"11","2010"
"289438","2649","45",4125,"","17TH","ST",1,"11","2010"
"289623","3788","12",178,"","TOWNSEND","ST",94,"11","2010"
"290317","2649","44",4123,"","17TH","ST",1,"11","2010"
"290318","2649","45",4125,"","17TH","ST",1,"11","2010"
"292802","1597","16",783,"","47TH","AV",1,"10","2007"
"292815","6951","30",249,"","ONONDAGA","AV",1,"10","2007"
"292816","6951","30",251,"","ONONDAGA","AV",1,"10","2007"
"292834","614","13",2308,"","BUCHANAN","ST",1,"10","2007"
"292865","1934","001A",1607,"","09TH","AV",1,"10","2007"
"292899","1622","6",635,"","22ND","AV",1,"10","2007"
"292915","5343","13",62,"","BAY VIEW","ST",1,"10","2007"
"293087","838","32",124,"","LILY","ST",1,"10","2007"
"295280","4151","23",2417,"","BRYANT","ST",2,"10","2007"
"295559","1081","55",2448,"","GEARY","BL",1,"10","2007"
"295560","1081","55",2450,"","GEARY","BL",1,"10","2007"
"295682","6635","3",3318,"","MISSION","ST",1,"10","2008"
"295689","1629","22",676,"","16TH","AV",1,"10","2008"
"295708","3654","24",485,"","ELIZABETH","ST",1,"10","2008"
"295831","3609","33",955,"","VALENCIA","ST",1,"10","2008"
"296367","3610","5",942,"","SOUTH VAN NESS","AV",2,"10","2008"
"296533","4098","16",684,"","ARKANSAS","ST",1,"10","2008"
"297612","1053","12",2564,"","SUTTER","ST",2,"10","2008"
"297837","1084","4",3575,"","GEARY","BL",150,"10","2008"
"297868","4098","16",684,"","ARKANSAS","ST",1,"10","2008"
"298060","1452","33",342,"A","21ST","AV",1,"10","2008"
"298062","1677","10",859,"","34TH","AV",1,"10","2008"
"298063","1452","33",342,"A","21ST","AV",1,"10","2008"
"298286","1735","16",1275,"","15TH","AV",1,"10","2008"
"298496","1519","022B",3436,"","ANZA","ST",1,"10","2009"
"298707","6729","65",34,"","SURREY","ST",1,"10","2009"
"298869","3641","75",926,"","SHOTWELL","ST",1,"10","2009"
"299428","3649","11",1090,"","DOLORES","ST",1,"10","2009"
"300064","331","14",281,"","ELLIS","ST",1,"10","2009"
"300065","331","14",285,"","ELLIS","ST",1,"10","2009"
"300072","3654","24",485,"","ELIZABETH","ST",1,"10","2009"
"300695","2349","12",2371,"","20TH","AV",1,"10","2010"
"302733","7108","51",92,"","BROAD","ST",1,"09","2007"
"302740","1088","3",135,"","COOK","ST",1,"09","2007"
"302746","1429","29",266,"","05TH","AV",2,"09","2007"
"302749","1232","3",1125,"","MASONIC","AV",1,"09","2007"
"302750","1232","3",1127,"","MASONIC","AV",1,"09","2007"
"302755","6617","16",166,"","29TH","ST",3,"09","2007"
"302764","5357","49",2,"","LATONA","ST",1,"09","2007"
"302780","2807","21",976,"","ELIZABETH","ST",1,"09","2007"
"302783","3708","22",16,"","JESSIE","ST",51,"09","2007"
"302784","3708","22",30,"","JESSIE","ST",51,"09","2007"
"302790","6601","6",1596,"","CHURCH","ST",6,"09","2007"
"302796","6244","73",458,"A","LELAND","AV",1,"09","2007"
"302814","2692","37",4455,"","18TH","ST",1,"09","2007"
"302815","2692","37",4447,"","18TH","ST",1,"09","2007"
"302885","1644","11",879,"","ARGUELLO","BL",1,"09","2007"
"302886","1644","11",885,"","ARGUELLO","BL",1,"09","2007"
"302889","7108","10",2776,"","SAN JOSE","AV",1,"09","2007"
"303666","1837","2",1419,"","16TH","AV",1,"09","2007"
"305350","4106","27",851,"","INDIANA","ST",29,"09","2008"
"305363","1570","003A",633,"","27TH","AV",1,"09","2008"
"305419","3614","53",711,"","SHOTWELL","ST",1,"09","2008"
"305430","516","11",2130,"","FILBERT","ST",1,"09","2008"
"305606","2607","284",455,"","BUENA VISTA EAST","AV",1,"09","2008"
"305609","2607","285",457,"","BUENA VISTA EAST","AV",2,"09","2008"
"305610","2607","285",459,"","BUENA VISTA EAST","AV",2,"09","2008"
"305742","2807","21",976,"","ELIZABETH","ST",1,"09","2008"
"305745","2807","21",976,"","ELIZABETH","ST",1,"09","2008"
"306290","4080","11",2125,"","BRYANT","ST",54,"09","2008"
"306445","105","1",1345,"","MONTGOMERY","ST",1,"09","2008"
"306610","6636","19",1655,"","DOLORES","ST",1,"09","2008"
"306975","6594","43",119,"","27TH","ST",1,"09","2008"
"307037","659","8",2232,"","BUSH","ST",1,"09","2008"
"307169","1689","15",859,"","46TH","AV",1,"09","2008"
"307579","191","31",915,"","JACKSON","ST",1,"09","2008"
"307624","7108","10",2776,"","SAN JOSE","AV",1,"09","2008"
"308055","1772","13",1621,"","IRVING","ST",2,"09","2009"
"308067","3641","75",926,"","SHOTWELL","ST",1,"09","2009"
"308086","1567","8",663,"","24TH","AV",1,"09","2009"
"308087","3775","95",425,"","BRYANT","ST",1,"09","2009"
"308122","51","20",555,"","FRANCISCO","ST",1,"09","2009"
"308127","2773","12",4256,"","23RD","ST",1,"09","2009"
"308184","0460A","7",1624,"","BAY","ST",1,"09","2009"
"308381","6551","3",1266,"","DOLORES","ST",2,"09","2009"
"308838","339","6",130,"","TURK","ST",9,"09","2009"
"309027","5925","26",129,"","GIRARD","ST",2,"09","2009"
"309115","778","15",1357,"A","MCALLISTER","ST",1,"09","2009"
"309554","6517","7",914,"","CAPP","ST",1,"09","2009"
"309555","6517","7",916,"","CAPP","ST",1,"09","2009"
"309876","6517","7",916,"A","CAPP","ST",1,"09","2009"
"310134","1129","011A",1844,"","TURK","ST",2,"09","2010"
"310146","6592","16",322,"","DUNCAN","ST",1,"09","2010"
"310152","5312","18",1766,"","OAKDALE","AV",1,"09","2010"
"310155","3557","24",162,"","LANDERS","ST",1,"09","2010"
"310330","1772","13",1621,"","IRVING","ST",2,"09","2010"
"310353","3708","22",16,"","JESSIE","ST",51,"09","2010"
"310360","2649","44",4123,"","17TH","ST",1,"09","2010"
"310361","2649","45",4125,"","17TH","ST",1,"09","2010"
"310458","223","8",1000,"","MASON","ST",3,"09","2010"
"310586","7536","37",2224,"","CASTRO","ST",1,"09","2010"
"310607","254","80",1001,"","CALIFORNIA","ST",2,"09","2010"
"310610","7173","55",323,"","DE LONG","ST",1,"09","2010"
"311121","1519","022B",3436,"","ANZA","ST",1,"09","2010"
"311122","1519","022B",3438,"","ANZA","ST",1,"09","2010"
"311444","3647","27",221,"","FAIR OAKS","ST",1,"09","2010"
"311912","155","52",5,"","CYRUS","PL",1,"09","2010"
"311989","120","20",961,"","UNION","ST",2,"09","2010"
"312189","1010","6",3516,"","SACRAMENTO","ST",1,"04","2015"
"312190","1010","6",3518,"","SACRAMENTO","ST",1,"04","2015"
"312324","5524","44",3303,"","FOLSOM","ST",1,"04","2015"
"312354","3637","3",1110,"","SOUTH VAN NESS","AV",1,"04","2015"
"312491","5230","34",2250,"","JERROLD","AV",1,"04","2015"
"312492","2381","027A",2474,"","45TH","AV",1,"04","2015"
"312497","190","11",1308,"","TAYLOR","ST",1,"04","2015"
"312526","280","2",839,"","LEAVENWORTH","ST",2,"04","2015"
"312612","482","32",1535,"","FRANCISCO","ST",1,"04","2015"
"312626","316","18",459,"","GEARY","ST",1,"04","2015"
"312637","1050","006B",1825,"","SCOTT","ST",1,"04","2015"
"312731","2776","4",10,"","HOFFMAN","AV",1,"04","2015"
"313042","3576","39",37,"","LEXINGTON","ST",1,"04","2015"
"313059","1805","6",1433,"","48TH","AV",1,"04","2015"
