"address","...2","date","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","year","month","lat","lon","neighborhoods"
"136 TAYLOR ST , San Francisco, CA, USA",164108,"21/10/2014","340","14",136,NA,"TAYLOR","ST",1,"10",2014,37.783805,-122.410779,"Tenderloin"
"136 TAYLOR ST , San Francisco, CA, USA",150734,"18/11/2014","340","14",136,NA,"TAYLOR","ST",1,"11",2014,37.783805,-122.410779,"Tenderloin"
"1360 4TH AV , San Francisco, CA, USA",189967,"24/04/2007","1758","27",1360,NA,"4TH","AV",1,"04",2007,37.7633427,-122.4607411,"Inner Sunset"
"1360 4TH AV , San Francisco, CA, USA",225802,"27/02/2009","1758","27",1360,NA,"4TH","AV",1,"02",2009,37.7633427,-122.4607411,"Inner Sunset"
"1361 MCALLISTER ST , San Francisco, CA, USA",245258,"07/07/2009","778","15",1361,NA,"MCALLISTER","ST",1,"07",2009,37.778023,-122.434292,"Western Addition"
"1361 MCALLISTER ST , San Francisco, CA, USA",278381,"28/05/2009","778","15",1361,NA,"MCALLISTER","ST",1,"05",2009,37.778023,-122.434292,"Western Addition"
"1362 PAGE ST , San Francisco, CA, USA",403264,"03/01/2018","1221","18",1362,NA,"PAGE","ST",4,"01",2018,37.7715225510204,-122.443206387755,"Haight Ashbury"
"1364 PAGE ST , San Francisco, CA, USA",403265,"03/01/2018","1221","18",1364,NA,"PAGE","ST",4,"01",2018,37.7716525,-122.443294199396,"Haight Ashbury"
"1366 41ST AV , San Francisco, CA, USA",265912,NA,"1795","20",1366,NA,"41ST","AV",1,NA,NA,37.76130425,-122.50037448723,"Sunset/Parkside"
"1366 9TH AV , San Francisco, CA, USA",393698,"08/01/2016","1763","27",1366,NA,"9TH","AV",1,"01",2016,37.7628289,-122.4661193,"Inner Sunset"
"1366 UTAH ST , San Francisco, CA, USA",57931,"25/02/2014","4264","7",1366,NA,"UTAH","ST",1,"02",2014,37.752164,-122.405557,"Mission"
"1367 B NATOMA ST , San Francisco, CA, USA",336562,"05/08/2016","3548","77",1367,"B","NATOMA","ST",1,"08",2016,37.767331122449,-122.41835344898,"Mission"
"1367 NATOMA ST , San Francisco, CA, USA",489968,"09/11/2016","3548","77",1367,NA,"NATOMA","ST",1,"11",2016,37.767321,-122.418263,"Mission"
"1368 9TH AV , San Francisco, CA, USA",393699,"08/01/2016","1763","27",1368,NA,"9TH","AV",1,"01",2016,37.7628046,-122.4661178,"Inner Sunset"
"1368 UTAH ST , San Francisco, CA, USA",112498,"04/03/2013","4264","7",1368,NA,"UTAH","ST",1,"03",2013,37.752167,-122.405554,"Mission"
"1368 UTAH ST , San Francisco, CA, USA",85155,"16/07/2013","4264","7",1368,NA,"UTAH","ST",1,"07",2013,37.752167,-122.405554,"Mission"
"1368 UTAH ST , San Francisco, CA, USA",84991,"12/07/2013","4264","7",1368,NA,"UTAH","ST",1,"07",2013,37.752167,-122.405554,"Mission"
"1369 NATOMA ST , San Francisco, CA, USA",489969,"09/11/2016","3548","77",1369,NA,"NATOMA","ST",1,"11",2016,37.767321,-122.418263,"Mission"
"1370 35TH AV , San Francisco, CA, USA",140036,"16/11/2012","1789","22",1370,NA,"35TH","AV",1,"11",2012,37.761547,-122.493853,"Sunset/Parkside"
"1370 UTAH ST , San Francisco, CA, USA",57932,"25/02/2014","4264","7",1370,NA,"UTAH","ST",1,"02",2014,37.752167,-122.405554,"Mission"
"1370 UTAH ST , San Francisco, CA, USA",112499,"04/03/2013","4264","7",1370,NA,"UTAH","ST",1,"03",2013,37.752167,-122.405554,"Mission"
"1370 UTAH ST , San Francisco, CA, USA",84992,"12/07/2013","4264","7",1370,NA,"UTAH","ST",1,"07",2013,37.752167,-122.405554,"Mission"
"1370 UTAH ST , San Francisco, CA, USA",85156,"16/07/2013","4264","7",1370,NA,"UTAH","ST",1,"07",2013,37.752167,-122.405554,"Mission"
"1371 BROADWAY * , San Francisco, CA, USA",384341,"27/02/2018","154","44",1371,NA,"BROADWAY","*",1,"02",2018,37.795901,-122.419576,"Russian Hill"
"1371 BROADWAY * , San Francisco, CA, USA",480611,"03/05/2018","154","44",1371,NA,"BROADWAY","*",1,"05",2018,37.795901,-122.419576,"Russian Hill"
"1372 22ND AV , San Francisco, CA, USA",321916,"20/04/2017","1776","009O",1372,NA,"22ND","AV",1,"04",2017,37.762087,-122.479915,"Sunset/Parkside"
"1372 PINE ST , San Francisco, CA, USA",516733,"04/10/2018","250","8",1372,NA,"PINE","ST",3,"10",2018,37.79016725,-122.418412179777,"Nob Hill"
"1372 PINE ST , San Francisco, CA, USA",403223,"22/01/2018","250","8",1372,NA,"PINE","ST",3,"01",2018,37.79016725,-122.418412179777,"Nob Hill"
"1372 PINE ST , San Francisco, CA, USA",516732,"04/10/2018","250","8",1372,NA,"PINE","ST",3,"10",2018,37.79016725,-122.418412179777,"Nob Hill"
"1373 BROADWAY * , San Francisco, CA, USA",384342,"27/02/2018","154","44",1373,NA,"BROADWAY","*",1,"02",2018,37.795902,-122.419573,"Russian Hill"
"1374 22ND AV , San Francisco, CA, USA",321917,"20/04/2017","1776","009O",1374,NA,"22ND","AV",1,"04",2017,37.76209,-122.479923,"Sunset/Parkside"
"1374 45TH AV , San Francisco, CA, USA",433545,"09/06/2016","1799","25",1374,NA,"45TH","AV",1,"06",2016,37.7609950204082,-122.504789918367,"Sunset/Parkside"
