"","x"
"1","Bayview Hunters Point"
"2","Bernal Heights"
"3","Castro/Upper Market"
"4","Excelsior"
"5","Haight Ashbury"
"6","Hayes Valley"
"7","Inner Richmond"
"8","Inner Sunset"
"9","Lakeshore"
"10","Marina"
"11","Mission"
"12","Nob Hill"
"13","Noe Valley"
"14","North Beach"
"15","Outer Mission"
"16","Outer Richmond"
"17","Pacific Heights"
"18","Russian Hill"
"19","South of Market"
"20","Sunset/Parkside"
"21","Tenderloin"
