"lat","lon"
37.738184,-122.42878
37.7302983,-122.494456847676
37.7649013,-122.414707109044
37.7649013,-122.414707109044
37.7743924,-122.4209413
37.79494345,-122.419175270281
37.79494345,-122.419175270281
37.78103895,-122.456529804223
37.8014371,-122.437716647688
37.7464858,-122.418137733333
37.75376705,-122.441116613462
37.75376705,-122.441116613462
37.728163,-122.367674
37.7456343,-122.417943549262
37.7456343,-122.417943549262
37.735012,-122.472312
37.7689157,-122.4377762
37.76424685,-122.444479222051
37.76424685,-122.444479222051
37.76424685,-122.444479222051
37.76424685,-122.444479222051
37.7720343,-122.425216023686
37.738051,-122.411085
37.78160975,-122.443814067329
37.77664185,-122.419182003954
37.77664185,-122.419182003954
37.77664185,-122.419182003954
37.77664185,-122.419182003954
37.77664185,-122.419182003954
37.792897,-122.410929
37.792897,-122.410929
37.792897,-122.410929
37.792897,-122.410929
37.7719974,-122.4455298
37.7381303,-122.390256543141
37.794055,-122.409358
37.76505245,-122.394130654745
37.76505245,-122.394130654745
37.791658,-122.411038
37.791658,-122.411038
37.791658,-122.411038
37.80132,-122.416361
37.769777,-122.422512
37.7118933333333,-122.405764333333
37.77762,-122.418171
37.77762,-122.418171
37.767458,-122.430822
37.767458,-122.430822
37.77762,-122.418171
37.7794705,-122.4073515
37.779526,-122.436823
37.749266,-122.436316
37.71851965,-122.38826325023
37.779526,-122.436823
37.749269,-122.436317
37.8023162,-122.4184475
37.719746,-122.402248
37.80132,-122.416361
37.8023105,-122.4184925
37.7720208,-122.440266889189
37.7381931753231,-122.428839013709
37.7795036363636,-122.435206545455
37.7795036363636,-122.435206545455
37.7795036363636,-122.435206545455
37.72049,-122.455821
37.779526,-122.435211
37.779526,-122.435211
37.779526,-122.435211
37.756774,-122.402115
37.785563,-122.420304
37.771925,-122.437769
37.767402,-122.4362305
37.744687,-122.47848
37.779401,-122.437255
37.7673967,-122.4363432
37.767367,-122.436331
37.7566688,-122.400599343348
37.779401,-122.437255
37.794499,-122.410325
37.779401,-122.437255
37.794499,-122.410325
37.786602,-122.41964
37.786602,-122.41964
37.786602,-122.41964
37.786602,-122.41964
37.779401,-122.437255
37.794499,-122.410325
37.779401,-122.437255
37.794497,-122.410327
37.7695549333333,-122.424723666667
37.7695549333333,-122.424723666667
37.714474,-122.468673
37.795459,-122.412286
37.795459,-122.412286
37.795459,-122.412286
37.795459,-122.412286
37.7735074285714,-122.416888857143
37.7735074285714,-122.416888857143
37.7735074285714,-122.416888857143
37.795414,-122.41228
37.795414,-122.41228
37.795414,-122.41228
37.795414,-122.41228
37.795414,-122.41228
37.7995728709677,-122.416774419355
37.7995728709677,-122.416774419355
37.7995728709677,-122.416774419355
37.778576,-122.408218
37.7734714897959,-122.416929693878
37.7864936326531,-122.470593755102
37.755944,-122.421318
37.755944,-122.421318
37.753057,-122.393363
37.786675,-122.419048
