"","buyout_amount","address","nhood","long","lat","month","year"
"5780","200,000.00","42 Sanchez Street","Castro/Upper Market","-122.43133339708294","37.768589799218645","10","2021"
"5783","59,206.21","1780 McAllister Street","Western Addition","-122.44132270737322","37.77745328332908","9","2017"
"5785","8,200.00","840 CApp Street","Mission","-122.41749109235208","37.75323704647605","5","2015"
"5789","200,000.00","659 14th Avenue","Outer Richmond","-122.47253892333426","37.77576023909659","5","2018"
"5790","10,000.00","1483 27TH Avenue","Sunset/Parkside","-122.48551021181845","37.75982307011012","5","2016"
"5791","1,750.00","170 Rolph Street","Excelsior","-122.43886553392221","37.71451567808089","9","2015"
"5798","28,800.00","1543 17th Avenue","Inner Sunset","-122.47471466842921","37.75911805888186","8","2021"
"5801","13,254.00","1392 La Playa Street","Sunset/Parkside","-122.5091337040222","37.76048159858254","11","2018"
"5802","7,301.00","68 Newton Street","Excelsior","-122.43881937198307","37.713709537469946","3","2016"
"5803","90,000.00","1565 Fulton Street","Lone Mountain/USF","-122.44253556303987","37.776281161985295","12","2016"
"5805","14,500.00","230 11th Street","Mission","-122.41516589351868","37.772737612804605","12","2017"
"5809","62,500.00","1478 19th Avenue","Inner Sunset","-122.4767605557335","37.76027027977768","5","2022"
"5810","0.00","2060 Pacific Avenue","Pacific Heights","-122.42915962205667","37.79409358338557","9","2017"
"5815","155,666.64","873 Union Street","Russian Hill","-122.41363762983788","37.799864392332374","11","2018"
"5817","70,000.00","1729 BALBOA Street","Outer Richmond","-122.47732995698001","37.77660575964014","12","2018"
"5818","20,354.00","937 Judah Street","Inner Sunset","-122.47198339165375","37.761857497781435","10","2015"
"5819","30,000.00","550 Monterey Boulevard","West of Twin Peaks","-122.44780887936797","37.73162122134573","8","2021"
"5823","44,031.00","357 Rolph Street","Excelsior","-122.4356376856055","37.71312947477352","8","2017"
"5825","120,000.00","1227 Page Street","Haight Ashbury","-122.44104221800006","37.771695481627496","8","2016"
"5837","31,000.00","2030 42nd Avenue","Sunset/Parkside","-122.50079406290615","37.7488247260553","7","2019"
"5839","48,000.00","1397 12th Avenue","Inner Sunset","-122.46944773012696","37.76216183919497","10","2015"
"5841","42,500.00","3055 23rd Avenue","Sunset/Parkside","-122.47922451214866","37.7317846424411","2","2022"
"5844","5,000.00","946 De Haro Street","Potrero Hill","-122.40096405604719","37.757684827647125","7","2018"
"5846","35,040.00","1511 Lyon Street","Presidio Heights","-122.4449117531715","37.78478354516819","12","2016"
