"","address","nhood","lat","long","month","year","block","street_name","street_type"
"201","100 Block Of Stonecrest  Drive","West of Twin Peaks","","","8","2016","100","Stonecrest","Drive"
"203","1300 Block Of Market  Street","Tenderloin","37.7770444893888","-122.416930565378","6","2018","1300","Market","Street"
"204","1300 Block Of Francisco  Street","Marina","37.8028943632832","-122.427387755904","8","2015","1300","Francisco","Street"
"205","3900 Block Of Mission  Street","Bernal Heights","","","8","2017","3900","Mission","Street"
"206","1200 Block Of Thomas  Avenue","Bayview Hunters Point","37.7267020075959","-122.38474627983","1","2014","1200","Thomas","Avenue"
"209","1000 Block Of Phelps  Street","Bayview Hunters Point","37.7389153318407","-122.392111818455","3","2018","1000","Phelps","Street"
"210","3100 Block Of 24th  Street","Mission","37.7524728577954","-122.414629161816","4","2017","3100","24th","Street"
"211","600 Block Of Bush  Street","Nob Hill","37.7902986216025","-122.40768471833","5","2012","600","Bush","Street"
"213","900 Block Of Edinburgh  Street","Excelsior","37.7151342064097","-122.436593528783","8","2013","900","Edinburgh","Street"
"214","2100 Block Of Taylor  Street","Russian Hill","37.8021548660574","-122.414586772169","2","2012","2100","Taylor","Street"
"216","100 Block Of Cordova  Street","Excelsior","37.7119206734438","-122.435697922169","10","2017","100","Cordova","Street"
"218","600 Block Of Andover  Street","Bernal Heights","37.7352464744365","-122.416791553536","1","2018","600","Andover","Street"
"219","1200 Block Of Egbert  Avenue","Bayview Hunters Point","37.7210810577831","-122.389831273989","4","2014","1200","Egbert","Avenue"
"221","300 Block Of 19th  Avenue","Outer Richmond","37.7813447849475","-122.478374190994","4","2014","300","19th","Avenue"
"222","1700 Block Of 25th  Avenue","Sunset/Parkside","37.7548908111626","-122.482966905455","2","2017","1700","25th","Avenue"
"223","2400 Block Of Washington  Street","Pacific Heights","37.7916956506027","-122.433560019442","4","2014","2400","Washington","Street"
"224","3400 Block Of Taraval  Street","Sunset/Parkside","37.7418374581518","-122.503012850305","6","2016","3400","Taraval","Street"
"225","400 Block Of Union  Street","North Beach","37.8007616260161","-122.406604504045","10","2014","400","Union","Street"
"226","500 Block Of 26th  Avenue","Outer Richmond","","","8","2015","500","26th","Avenue"
"228","100 Block Of Font  Boulevard","Lakeshore","37.7155014475134","-122.473671964909","6","2018","100","Font","Boulevard"
"229","300 Block Of Arballo  Drive","Lakeshore","37.7201216986585","-122.483037116654","2","2016","300","Arballo","Drive"
"230","600 Block Of Francisco  Street","Russian Hill","37.804316381084","-122.416373876361","9","2015","600","Francisco","Street"
"233","2200 Block Of Polk  Street","Russian Hill","37.7975977981974","-122.422101896741","7","2014","2200","Polk","Street"
"234","500 Block Of Naples  Street","Excelsior","37.7200771019549","-122.431795115051","8","2018","500","Naples","Street"
"236","1100 Block Of Church  Street","Noe Valley","37.7528708066516","-122.427543275772","6","2014","1100","Church","Street"
"237","500 Block Of John Muir  Drive","Lakeshore","37.7143630245997","-122.49198854568","6","2017","500","John Muir","Drive"
"238","1200 Block Of 18th  Avenue","Inner Sunset","37.7645536025051","-122.476120506018","7","2014","1200","18th","Avenue"
"239","2100 Block Of Taylor  Street","Russian Hill","37.8021548660574","-122.414586772169","9","2017","2100","Taylor","Street"
"240","2900 Block Of Washington  Street","Pacific Heights","37.790647460285","-122.441819367324","10","2014","2900","Washington","Street"
"242","0 Block Of Camp  Street","Mission","37.7640024624896","-122.4233782117","8","2014","0","Camp","Street"
"243","1900 Block Of Jefferson  Street","Marina","37.8045317888725","-122.444625599897","11","2013","1900","Jefferson","Street"
"246","0 Block Of Eureka  Street","Castro/Upper Market","37.7611980596452","-122.438313762272","9","2015","0","Eureka","Street"
"247","600 Block Of Eddy  Street","Tenderloin","37.7832061469448","-122.418355240671","8","2015","600","Eddy","Street"
"248","100 Block Of Crespi  Drive","Lakeshore","37.7190695324334","-122.477069560336","2","2015","100","Crespi","Drive"
"252","400 Block Of 22nd  Avenue","Outer Richmond","37.7792686333035","-122.481448179721","10","2016","400","22nd","Avenue"
"253","200 Block Of Leavenworth  Street","Tenderloin","","","2","2015","200","Leavenworth","Street"
"254","500 Block Of Chenery  Street","Glen Park","37.7350514098186","-122.431029310338","10","2018","500","Chenery","Street"
"257","2500 Block Of Lombard  Street","Marina","37.7989471738311","-122.443492928547","3","2012","2500","Lombard","Street"
"258","2700 Block Of Polk  Street","Russian Hill","37.802023894197","-122.422994802605","11","2018","2700","Polk","Street"
"259","1600 Block Of Florida  Street","Bernal Heights","37.7472088989769","-122.409168155678","12","2013","1600","Florida","Street"
"260","2000 Block Of Market  Street","Castro/Upper Market","37.7683537570212","-122.427731043794","11","2015","2000","Market","Street"
"261","2200 Block Of Washington  Street","Pacific Heights","37.7921126801769","-122.430269595651","10","2011","2200","Washington","Street"
"262","5800 Block Of Mission  Street","Outer Mission","37.7091095440867","-122.451774197523","2","2013","5800","Mission","Street"
"264","1600 Block Of 22nd  Avenue","Sunset/Parkside","37.7568959108077","-122.479881129561","12","2015","1600","22nd","Avenue"
"265","500 Block Of Diamond  Street","Noe Valley","37.7539491478314","-122.43656316927","8","2013","500","Diamond","Street"
"268","0 Block Of Oakwood  Street","Mission","37.760692339262","-122.424944025614","1","2018","0","Oakwood","Street"
"269","1500 Block Of Jones  Street","Nob Hill","37.7954327369839","-122.414915543628","11","2018","1500","Jones","Street"
"270","500 Block Of Natoma  Street","South of Market","37.7788549923578","-122.409373621244","8","2012","500","Natoma","Street"
"271","1800 Block Of Grove  Street","Lone Mountain/USF","37.7747692366893","-122.447080736421","11","2015","1800","Grove","Street"
"272","100 Block Of Sickles  Avenue","Outer Mission","37.7094228222895","-122.453568350326","12","2012","100","Sickles","Avenue"
"273","600 Block Of Tompkins  Avenue","Bernal Heights","37.7370171301203","-122.412548482851","6","2015","600","Tompkins","Avenue"
"275","1200 Block Of Waller  Street","Haight Ashbury","37.7693906154987","-122.44428371162","6","2015","1200","Waller","Street"
"278","1400 Block Of Larkin  Street","Nob Hill","37.7912460334511","-122.419128973471","2","2016","1400","Larkin","Street"
"281","600 Block Of Vienna  Street","Excelsior","37.7181381069976","-122.432169389704","8","2018","600","Vienna","Street"
"282","2400 Block Of 27th  Avenue","Sunset/Parkside","37.7417392177689","-122.484197953089","7","2014","2400","27th","Avenue"
"283","700 Block Of Guerrero  Street","Mission","37.7587603478483","-122.423574254341","3","2018","700","Guerrero","Street"
"284","1300 Block Of Golden Gate  Avenue","Western Addition","37.7794593688973","-122.432773871804","1","2012","1300","Golden Gate","Avenue"
"287","1400 Block Of 12th  Avenue","Inner Sunset","37.761102347384","-122.469327489751","10","2016","1400","12th","Avenue"
"288","1900 Block Of Baker  Street","Pacific Heights","37.7890136353375","-122.444029744548","12","2013","1900","Baker","Street"
"289","1100 Block Of Howard  Street","South of Market","37.77645559375","-122.411310267446","7","2018","1100","Howard","Street"
"291","100 Block Of Albion  Street","Mission","37.7644489375028","-122.42281414068","6","2018","100","Albion","Street"
"292","1800 Block Of 21st  Avenue","Sunset/Parkside","37.7532138216382","-122.478550876346","8","2016","1800","21st","Avenue"
"293","0 Block Of Farallones  Street","Oceanview/Merced/Ingleside","37.7140902780207","-122.454117754062","6","2014","0","Farallones","Street"
"294","100 Block Of Lisbon  Street","Excelsior","37.7258251787815","-122.430711557104","11","2012","100","Lisbon","Street"
"295","0 Block Of Niantic  Avenue","Oceanview/Merced/Ingleside","37.7090296465906","-122.468528560953","9","2015","0","Niantic","Avenue"
"296","3100 Block Of 24th  Street","Mission","37.7524062194527","-122.415718901028","9","2016","3100","24th","Street"
"297","2000 Block Of Broadway  Street","Pacific Heights","37.7947896034749","-122.430811572356","7","2017","2000","Broadway","Street"
"298","2300 Block Of 28th  Avenue","Sunset/Parkside","37.7435593836653","-122.485400840462","3","2015","2300","28th","Avenue"
"299","1000 Block Of Clement  Street","Inner Richmond","37.7826771533068","-122.470307992773","1","2012","1000","Clement","Street"
"300","200 Block Of Arleta  Avenue","Visitacion Valley","37.7141898165901","-122.407831026397","12","2016","200","Arleta","Avenue"
"301","3400 Block Of Divisadero  Street","Marina","37.8013732935499","-122.443129059251","1","2018","3400","Divisadero","Street"
"303","500 Block Of Capp  Street","Mission","37.7578996028686","-122.417888302701","10","2017","500","Capp","Street"
"305","400 Block Of University  Street","Portola","37.7244565188647","-122.413218835724","2","2014","400","University","Street"
"306","2300 Block Of Powell  Street","North Beach","37.8062915068487","-122.412045755883","4","2013","2300","Powell","Street"
"307","800 Block Of 36th  Avenue","Outer Richmond","37.7729647957678","-122.49604368632","7","2016","800","36th","Avenue"
"308","500 Block Of 33rd  Avenue","Outer Richmond","37.7787311862526","-122.493232519749","1","2013","500","33rd","Avenue"
"309","0 Block Of Blake  Street","Presidio Heights","37.7828229707761","-122.451287517936","11","2013","0","Blake","Street"
"310","300 Block Of Serrano  Drive","Lakeshore","37.7190651230538","-122.480467680039","11","2016","300","Serrano","Drive"
"311","0 Block Of Hoff  Street","Mission","37.7641859120938","-122.420506713085","3","2015","0","Hoff","Street"
"312","200 Block Of Charter Oak  Avenue","Bayview Hunters Point","37.7337457804751","-122.404433381706","5","2012","200","Charter Oak","Avenue"
"314","500 Block Of Arballo  Drive","Lakeshore","37.7183942193985","-122.48315160171","5","2018","500","Arballo","Drive"
"315","600 Block Of 09th  Avenue","Inner Richmond","37.7761553436444","-122.467153347444","7","2013","600","09th","Avenue"
"317","0 Block Of Emery  Lane","Chinatown","37.7987051660297","-122.409686652088","3","2015","0","Emery","Lane"
"318","300 Block Of San Jose  Avenue","Mission","37.7494064538541","-122.421337696874","5","2013","300","San Jose","Avenue"
"319","300 Block Of Day  Street","Noe Valley","37.7426975881737","-122.429913962782","4","2018","300","Day","Street"
"320","1600 Block Of Mcallister  Street","Western Addition","37.7776904809291","-122.43919621213","5","2016","1600","Mcallister","Street"
"321","200 Block Of Jules  Avenue","Oceanview/Merced/Ingleside","37.7227367852529","-122.461246388635","8","2016","200","Jules","Avenue"
"322","500 Block Of Capp  Street","Mission","37.7578996028686","-122.417888302701","12","2015","500","Capp","Street"
"323","0 Block Of Parker  Avenue","Presidio Heights","37.7851369043749","-122.454696127106","4","2017","0","Parker","Avenue"
"325","500 Block Of Fell  Street","Hayes Valley","37.7754209300197","-122.426897188212","2","2012","500","Fell","Street"
"326","700 Block Of Stockton  Street","Chinatown","37.7924901375451","-122.407568105966","11","2014","700","Stockton","Street"
"327","100 Block Of Allison  Street","Excelsior","37.7130233108707","-122.441861243251","1","2017","100","Allison","Street"
"328","300 Block Of 24th  Avenue","Outer Richmond","37.7830037527336","-122.483869939641","4","2015","300","24th","Avenue"
"333","600 Block Of Ofarrell  Street","Tenderloin","37.7855571533307","-122.414818616836","7","2015","600","Ofarrell","Street"
"335","1200 Block Of Fulton  Street","Western Addition","37.7769619876961","-122.437342140025","8","2014","1200","Fulton","Street"
"336","800 Block Of Greenwich  Street","Russian Hill","37.8018421479296","-122.413259896538","7","2017","800","Greenwich","Street"
"337","800 Block Of Franklin  Street","Western Addition","37.7819860091183","-122.422322337788","5","2013","800","Franklin","Street"
"338","1300 Block Of Grove  Street","Hayes Valley","37.7758195008091","-122.438823176056","10","2014","1300","Grove","Street"
"343","900 Block Of Silliman  Street","Portola","37.7287863619095","-122.414463339501","7","2018","900","Silliman","Street"
"345","2200 Block Of Mission  Street","Mission","37.7610356057832","-122.419282655375","8","2014","2200","Mission","Street"
"347","700 Block Of 20th  Avenue","Outer Richmond","37.7737478340675","-122.478904323129","6","2017","700","20th","Avenue"
"348","800 Block Of Jones  Street","Nob Hill","37.7890637608329","-122.413634915981","6","2012","800","Jones","Street"
"350","2400 Block Of 24th  Street","Mission","37.7531498912992","-122.403884393616","12","2012","2400","24th","Street"
"351","400 Block Of 20th  Avenue","Outer Richmond","37.7793715105801","-122.47931187957","7","2015","400","20th","Avenue"
"352","400 Block Of Lyon  Street","Lone Mountain/USF","","","6","2012","400","Lyon","Street"
"353","600 Block Of 33rd  Avenue","Outer Richmond","37.7768422696345","-122.493106006276","8","2015","600","33rd","Avenue"
"354","3000 Block Of Baker  Street","Marina","37.7990910583596","-122.446067486527","1","2014","3000","Baker","Street"
"355","1200 Block Of Thomas  Avenue","Bayview Hunters Point","37.7267020075959","-122.38474627983","7","2014","1200","Thomas","Avenue"
"356","1000 Block Of Post  Street","Tenderloin","37.7869327392576","-122.419099466609","10","2012","1000","Post","Street"
"357","2400 Block Of 35th  Avenue","Sunset/Parkside","37.7413615165025","-122.492771509494","1","2013","2400","35th","Avenue"
"358","700 Block Of Gonzalez  Drive","Lakeshore","","","2","2016","700","Gonzalez","Drive"
"361","100 Block Of Font  Boulevard","Lakeshore","37.7155014475134","-122.473671964909","9","2018","100","Font","Boulevard"
"363","800 Block Of Capp  Street","Mission","37.7531040163468","-122.417431859216","5","2014","800","Capp","Street"
"364","200 Block Of Vienna  Street","Excelsior","37.724371075389","-122.427492866299","1","2016","200","Vienna","Street"
"365","700 Block Of Ellis  Street","Tenderloin","37.7841324294373","-122.418535460255","2","2016","700","Ellis","Street"
"366","1300 Block Of Market  Street","Tenderloin","37.7770444893888","-122.416930565378","8","2015","1300","Market","Street"
"367","0 Block Of Belcher  Street","Castro/Upper Market","37.7685271907708","-122.430164407562","7","2013","0","Belcher","Street"
"368","300 Block Of 05th  Avenue","Inner Richmond","37.7820296839072","-122.46328060014","9","2014","300","05th","Avenue"
"369","100 Block Of Bernard  Street","Nob Hill","37.7962132123391","-122.415917863205","2","2015","100","Bernard","Street"
"370","800 Block Of Green  Street","Nob Hill","37.7989916777538","-122.413107020616","11","2014","800","Green","Street"
"371","700 Block Of Jones  Street","Nob Hill","37.7878108400559","-122.413383444044","7","2012","700","Jones","Street"
"373","200 Block Of Harvard  Street","Excelsior","37.7265115493538","-122.42061930785","2","2013","200","Harvard","Street"
"374","1200 Block Of Hampshire  Street","Mission","37.7521084230878","-122.407215095688","2","2013","1200","Hampshire","Street"
"375","200 Block Of Los Palmos  Drive","West of Twin Peaks","37.7358743350641","-122.44943423327","5","2013","200","Los Palmos","Drive"
"376","1900 Block Of Broadway  Street","Pacific Heights","37.7950002760903","-122.429166882576","12","2017","1900","Broadway","Street"
"377","2900 Block Of Webster  Street","Marina","37.7977640485464","-122.433941217339","5","2012","2900","Webster","Street"
"378","500 Block Of Cole  Street","Haight Ashbury","37.7700541314912","-122.450312238615","2","2015","500","Cole","Street"
"379","300 Block Of 29th  Avenue","Outer Richmond","37.7827568124898","-122.489223375715","6","2017","300","29th","Avenue"
"380","500 Block Of John Muir  Drive","Lakeshore","37.7143630245997","-122.49198854568","5","2013","500","John Muir","Drive"
"381","2300 Block Of Pacific  Avenue","Pacific Heights","37.7934524219336","-122.433911042122","7","2015","2300","Pacific","Avenue"
"383","1600 Block Of Mcallister  Street","Western Addition","37.7776904809291","-122.43919621213","8","2013","1600","Mcallister","Street"
"385","300 Block Of Eddy  Street","Tenderloin","37.7837842792956","-122.413764591261","9","2016","300","Eddy","Street"
"386","1300 Block Of Page  Street","Haight Ashbury","37.7714645777644","-122.443012014827","12","2013","1300","Page","Street"
"387","2600 Block Of 24th  Avenue","Sunset/Parkside","37.7381539063506","-122.480720818846","9","2015","2600","24th","Avenue"
"388","400 Block Of Hyde  Street","Tenderloin","37.7849124071988","-122.416165720051","8","2016","400","Hyde","Street"
"390","400 Block Of Buchanan  Street","Hayes Valley","37.7736884830048","-122.427404635209","11","2015","400","Buchanan","Street"
"392","1300 Block Of Market  Street","Tenderloin","37.7770444893888","-122.416930565378","3","2016","1300","Market","Street"
"394","100 Block Of Shrader  Street","Lone Mountain/USF","37.7735734125126","-122.452718330696","8","2013","100","Shrader","Street"
"396","1600 Block Of 48th  Avenue","Sunset/Parkside","37.7556675449424","-122.50773927837","11","2011","1600","48th","Avenue"
"397","3000 Block Of Clay  Street","Pacific Heights","37.7895600235444","-122.443297947102","11","2016","3000","Clay","Street"
"398","4400 Block Of 17th  Street","Castro/Upper Market","37.7619716899714","-122.443777454667","1","2013","4400","17th","Street"
"400","3600 Block Of Clay  Street","Presidio Heights","37.7883329022063","-122.452947701186","3","2015","3600","Clay","Street"
"401","200 Block Of Brighton  Avenue","Oceanview/Merced/Ingleside","37.7227604885313","-122.455131343314","10","2014","200","Brighton","Avenue"
"402","400 Block Of 28th  Avenue","Outer Richmond","37.7809108154171","-122.488015461045","11","2015","400","28th","Avenue"
"403","1400 Block Of Franklin  Street","Western Addition","37.7875721858489","-122.423450783287","5","2018","1400","Franklin","Street"
"404","400 Block Of Marina  Boulevard","Marina","37.8058743722264","-122.441086248634","9","2017","400","Marina","Boulevard"
"406","2400 Block Of Folsom  Street","Mission","37.7580968172609","-122.414615749744","3","2015","2400","Folsom","Street"
"408","1200 Block Of Grant  Avenue","North Beach","37.7983209288503","-122.407115883125","1","2016","1200","Grant","Avenue"
"409","0 Block Of Teddy  Avenue","Visitacion Valley","37.7133813881678","-122.403282805583","4","2014","0","Teddy","Avenue"
"410","100 Block Of Columbus  Avenue","Chinatown","37.7966055783445","-122.404850278841","12","2011","100","Columbus","Avenue"
"412","100 Block Of Trenton  Street","Chinatown","37.7961593560726","-122.409163488832","7","2016","100","Trenton","Street"
"413","300 Block Of Bartlett  Street","Mission","37.7513720107988","-122.419478523553","6","2015","300","Bartlett","Street"
"415","1400 Block Of 18th  Avenue","Inner Sunset","37.7608132936038","-122.475860325301","12","2012","1400","18th","Avenue"
"417","525500 Block Of York  Street","Mission","37.7624516702762","-122.409218287398","7","2012","525500","York","Street"
"418","300 Block Of 22nd  Avenue","Outer Richmond","37.7811931201265","-122.481587805675","10","2013","300","22nd","Avenue"
"424","200 Block Of 25th  Avenue","Outer Richmond","37.7848141216698","-122.485079439334","4","2015","200","25th","Avenue"
"425","1900 Block Of Fulton  Street","Lone Mountain/USF","37.7754444971891","-122.449278862593","11","2016","1900","Fulton","Street"
"426","2300 Block Of Pacific  Avenue","Pacific Heights","37.7934524219336","-122.433911042122","3","2017","2300","Pacific","Avenue"
"427","1500 Block Of Broadway  Street","Russian Hill","37.7958412585868","-122.422590612418","4","2012","1500","Broadway","Street"
"428","600 Block Of 34th  Avenue","Outer Richmond","37.7767937511655","-122.494171747602","10","2011","600","34th","Avenue"
"429","1800 Block Of Golden Gate  Avenue","Western Addition","37.7784055113358","-122.441039487794","4","2018","1800","Golden Gate","Avenue"
