"address","...1","date","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","year","month","lat","lon"
"1596 9TH AV , San Francisco, CA, USA",90692,"18/07/2014","1854","016A",1596,NA,"9TH","AV",1,"07",2014,"37.7586048","-122.46574746024518"
"1596 CHURCH ST , San Francisco, CA, USA",65837,"09/01/2012","6601","6",1596,NA,"CHURCH","ST",6,"01",2012,"37.7453958","-122.4270213"
"1596 CHURCH ST , San Francisco, CA, USA",302790,"25/09/2007","6601","6",1596,NA,"CHURCH","ST",6,"09",2007,"37.7453958","-122.4270213"
"1599 DOLORES ST , San Francisco, CA, USA",403220,"16/01/2018","6617","18",1599,NA,"DOLORES","ST",1,"01",2018,"37.743983","-122.424134"
"16 JESSIE ST , San Francisco, CA, USA",302783,"19/09/2007","3708","22",16,NA,"JESSIE","ST",51,"09",2007,"37.790003999999996","-122.39859226666667"
"16 JESSIE ST , San Francisco, CA, USA",310353,"13/09/2010","3708","22",16,NA,"JESSIE","ST",51,"09",2010,"37.790003999999996","-122.39859226666667"
"160 14TH ST , San Francisco, CA, USA",427690,"25/06/2015","3530","48",160,NA,"14TH","ST",1,"06",2015,"37.768562","-122.416908"
"160 14TH ST , San Francisco, CA, USA",192369,"22/04/2008","3530","49",160,NA,"14TH","ST",1,"04",2008,"37.768562","-122.416908"
"160 14TH ST , San Francisco, CA, USA",58113,"27/02/2014","3530","49",160,NA,"14TH","ST",1,"02",2014,"37.768562","-122.416908"
"160 A YALE ST , San Francisco, CA, USA",321842,"25/04/2017","5938","54",160,"A","YALE","ST",1,"04",2017,"37.72715195918367","-122.41771171428572"
"160 CONNECTICUT ST , San Francisco, CA, USA",326580,"27/04/2018","3983","8",160,NA,"CONNECTICUT","ST",2,"04",2018,"37.76429","-122.39795528393782"
"160 CONNECTICUT ST , San Francisco, CA, USA",497066,"07/11/2018","3983","8",160,NA,"CONNECTICUT","ST",2,"11",2018,"37.76429","-122.39795528393782"
"160 RUSS ST , San Francisco, CA, USA",338120,"19/08/2016","3731","84",160,NA,"RUSS","ST",2,"08",2016,"37.7779963","-122.4074117"
"160 RUSS ST , San Francisco, CA, USA",470363,"16/05/2016","3731","84",160,NA,"RUSS","ST",2,"05",2016,"37.7779963","-122.4074117"
"160 RUSS ST , San Francisco, CA, USA",57811,"25/02/2014","3731","84",160,NA,"RUSS","ST",2,"02",2014,"37.7779963","-122.4074117"
"160 RUSS ST , San Francisco, CA, USA",470613,"16/05/2016","3731","84",160,NA,"RUSS","ST",2,"05",2016,"37.7779963","-122.4074117"
"160 RUSS ST , San Francisco, CA, USA",333391,"26/08/2015","3731","84",160,NA,"RUSS","ST",2,"08",2015,"37.7779963","-122.4074117"
"160 RUSS ST , San Francisco, CA, USA",470407,"17/05/2016","3731","84",160,NA,"RUSS","ST",2,"05",2016,"37.7779963","-122.4074117"
"160 SAN CARLOS ST , San Francisco, CA, USA",441593,"13/06/2018","3589","45",160,NA,"SAN CARLOS","ST",2,"06",2018,"37.760805","-122.420239"
"160 SAN CARLOS ST , San Francisco, CA, USA",441592,"13/06/2018","3589","45",160,NA,"SAN CARLOS","ST",2,"06",2018,"37.760805","-122.420239"
"160 SANSOME ST , San Francisco, CA, USA",253984,"25/06/2008","267","16",160,NA,"SANSOME","ST",2,"06",2008,"37.791918","-122.4007507"
"160 VICKSBURG ST , San Francisco, CA, USA",256112,"27/06/2008","3652","9",160,NA,"VICKSBURG","ST",1,"06",2008,"37.75246165","-122.42887321608026"
"160 VICKSBURG ST , San Francisco, CA, USA",284284,"26/11/2007","3652","9",160,NA,"VICKSBURG","ST",1,"11",2007,"37.75246165","-122.42887321608026"
"160 VICKSBURG ST , San Francisco, CA, USA",219573,"14/02/2007","3652","9",160,NA,"VICKSBURG","ST",1,"02",2007,"37.75246165","-122.42887321608026"
"1600 MARKET ST , San Francisco, CA, USA",159712,"08/10/2013","854","1",1600,NA,"MARKET","ST",24,"10",2013,"37.774131","-122.420928"
"1601 GRANT AV , San Francisco, CA, USA",436896,"15/06/2017","88","6",1601,NA,"GRANT","AV",1,"06",2017,"37.801701300000005","-122.40801132318651"
"1601 LARKIN ST , San Francisco, CA, USA",185454,"05/09/2014","620","6",1601,NA,"LARKIN","ST",27,"09",2014,"37.792779100000004","-122.41977978609765"
"1601 ORTEGA ST , San Francisco, CA, USA",491791,"30/11/2017","2111","1",1601,NA,"ORTEGA","ST",1,"11",2017,"37.752017","-122.480831"
"1603 LARKIN ST , San Francisco, CA, USA",185455,"05/09/2014","620","6",1603,NA,"LARKIN","ST",27,"09",2014,"37.79271485451452","-122.41953162521776"
"1603 ORTEGA ST , San Francisco, CA, USA",491792,"30/11/2017","2111","1",1603,NA,"ORTEGA","ST",1,"11",2017,"37.752015","-122.480836"
"1604 A TREAT AV , San Francisco, CA, USA",326660,"19/04/2018","5524","29",1604,"A","TREAT","AV",1,"04",2018,"37.74499415094339","-122.41247503773586"
"1607 9TH AV , San Francisco, CA, USA",292865,"23/10/2007","1934","001A",1607,NA,"9TH","AV",1,"10",2007,"37.7582509","-122.4661145"
"161 NOE ST , San Francisco, CA, USA",496554,"14/11/2018","3541","30",161,NA,"NOE","ST",1,"11",2018,"37.766425","-122.433019"
"161 SAN CARLOS ST , San Francisco, CA, USA",286681,"23/11/2009","3589","26",161,NA,"SAN CARLOS","ST",1,"11",2009,"37.760831","-122.419828"
"161 SUMMIT WY , San Francisco, CA, USA",486817,"24/11/2015","7331","230",161,NA,"SUMMIT","WY",2,"11",2015,"37.71538227231047","-122.47643782948495"
"1610 LA PLAYA * , San Francisco, CA, USA",461464,"02/03/2018","1895","41",1610,NA,"LA PLAYA","*",1,"03",2018,"37.756244","-122.508642"
"1610 LA PLAYA * , San Francisco, CA, USA",432696,"29/06/2016","1895","41",1610,NA,"LA PLAYA","*",1,"06",2016,"37.756244","-122.508642"
"1612 ANZA ST , San Francisco, CA, USA",314682,"30/04/2015","1537","18",1612,NA,"ANZA","ST",1,"04",2015,"37.779274","-122.465586"
"1615 OAKDALE AV , San Francisco, CA, USA",379309,"01/02/2017","5322","47",1615,NA,"OAKDALE","AV",1,"02",2017,"37.73486455","-122.39130846915306"
"1615 OAKDALE AV , San Francisco, CA, USA",437126,"14/06/2017","5322","47",1615,NA,"OAKDALE","AV",1,"06",2017,"37.73486455","-122.39130846915306"
"1617 KIRKWOOD AV , San Francisco, CA, USA",263392,NA,"5290","45",1617,NA,"KIRKWOOD","AV",1,NA,NA,"37.738182800000004","-122.39047067752489"
