"","nhood_month_year","buyout_amount","count","avg_buyout","month","year","nhood"
"121","10 2016 Inner Sunset",75000,1,75000,"10","2016","Inner Sunset"
"122","10 2016 Lone Mountain/USF",90000,1,90000,"10","2016","Lone Mountain/USF"
"123","10 2016 Marina",30000,1,30000,"10","2016","Marina"
"124","10 2016 Mission",109770.74,4,27442.685,"10","2016","Mission"
"125","10 2016 Nob Hill",7200,1,7200,"10","2016","Nob Hill"
"126","10 2016 Noe Valley",75000,2,37500,"10","2016","Noe Valley"
"127","10 2016 North Beach",70000,1,70000,"10","2016","North Beach"
"128","10 2016 Outer Richmond",110797,2,55398.5,"10","2016","Outer Richmond"
"129","10 2016 Pacific Heights",51311.84,3,17103.9466666667,"10","2016","Pacific Heights"
"130","10 2016 Potrero Hill",34505,2,17252.5,"10","2016","Potrero Hill"
"131","10 2016 Sunset/Parkside",61300,1,61300,"10","2016","Sunset/Parkside"
"132","10 2016 Visitacion Valley",25937.5,1,25937.5,"10","2016","Visitacion Valley"
"133","10 2017 Bayview Hunters Point",36946,2,18473,"10","2017","Bayview Hunters Point"
"134","10 2017 Bernal Heights",17000,1,17000,"10","2017","Bernal Heights"
"135","10 2017 Castro/Upper Market",111225,2,55612.5,"10","2017","Castro/Upper Market"
"136","10 2017 Excelsior",35100,4,8775,"10","2017","Excelsior"
"137","10 2017 Haight Ashbury",81620.29,3,27206.7633333333,"10","2017","Haight Ashbury"
"138","10 2017 Inner Richmond",17000,1,17000,"10","2017","Inner Richmond"
"139","10 2017 Inner Sunset",41750,2,20875,"10","2017","Inner Sunset"
"140","10 2017 Japantown",82500,1,82500,"10","2017","Japantown"
"141","10 2017 Nob Hill",27219,1,27219,"10","2017","Nob Hill"
"142","10 2017 Oceanview/Merced/Ingleside",55000,1,55000,"10","2017","Oceanview/Merced/Ingleside"
"143","10 2017 Outer Mission",45000,1,45000,"10","2017","Outer Mission"
"144","10 2017 Outer Richmond",21000,1,21000,"10","2017","Outer Richmond"
"145","10 2017 Potrero Hill",20000,1,20000,"10","2017","Potrero Hill"
"146","10 2017 Presidio Heights",20000,1,20000,"10","2017","Presidio Heights"
"147","10 2017 Russian Hill",75000,2,37500,"10","2017","Russian Hill"
"148","10 2017 Sunset/Parkside",15000,1,15000,"10","2017","Sunset/Parkside"
"149","10 2017 Tenderloin",11000,1,11000,"10","2017","Tenderloin"
"150","10 2017 West of Twin Peaks",47500,1,47500,"10","2017","West of Twin Peaks"
"151","10 2017 Western Addition",25640,1,25640,"10","2017","Western Addition"
"152","10 2018 Bernal Heights",18500,1,18500,"10","2018","Bernal Heights"
"153","10 2018 Chinatown",90878,2,45439,"10","2018","Chinatown"
"154","10 2018 Excelsior",33500,1,33500,"10","2018","Excelsior"
"155","10 2018 Glen Park",20000,1,20000,"10","2018","Glen Park"
"156","10 2018 Haight Ashbury",75000,3,25000,"10","2018","Haight Ashbury"
"157","10 2018 Inner Richmond",209962.87,2,104981.435,"10","2018","Inner Richmond"
"158","10 2018 Inner Sunset",30000,1,30000,"10","2018","Inner Sunset"
"159","10 2018 Marina",70000,2,35000,"10","2018","Marina"
"160","10 2018 Mission",266412.75,5,53282.55,"10","2018","Mission"
"161","10 2018 Nob Hill",15000,1,15000,"10","2018","Nob Hill"
"162","10 2018 Outer Mission",130000,2,65000,"10","2018","Outer Mission"
"163","10 2018 Outer Richmond",99000,3,33000,"10","2018","Outer Richmond"
"164","10 2018 Pacific Heights",211570.43,2,105785.215,"10","2018","Pacific Heights"
"165","10 2018 Portola",25000,1,25000,"10","2018","Portola"
"166","10 2018 Potrero Hill",20000,1,20000,"10","2018","Potrero Hill"
"167","10 2018 Sunset/Parkside",87000,2,43500,"10","2018","Sunset/Parkside"
"168","10 2018 Tenderloin",13000,1,13000,"10","2018","Tenderloin"
"169","10 2019 Bayview Hunters Point",25000,1,25000,"10","2019","Bayview Hunters Point"
"170","10 2019 Castro/Upper Market",295000,2,147500,"10","2019","Castro/Upper Market"
"171","10 2019 Haight Ashbury",48053.21,3,16017.7366666667,"10","2019","Haight Ashbury"
"172","10 2019 Hayes Valley",75326.1,1,75326.1,"10","2019","Hayes Valley"
"173","10 2019 Inner Richmond",49555.66,1,49555.66,"10","2019","Inner Richmond"
"174","10 2019 Lakeshore",35000,1,35000,"10","2019","Lakeshore"
"175","10 2019 Mission",57000,2,28500,"10","2019","Mission"
"176","10 2019 Noe Valley",1e+05,1,1e+05,"10","2019","Noe Valley"
"177","10 2019 North Beach",30000,1,30000,"10","2019","North Beach"
"178","10 2019 Oceanview/Merced/Ingleside",60000,1,60000,"10","2019","Oceanview/Merced/Ingleside"
"179","10 2019 Outer Mission",60000,1,60000,"10","2019","Outer Mission"
"180","10 2019 Outer Richmond",NA,1,NA,"10","2019","Outer Richmond"
"181","10 2019 Pacific Heights",75200,1,75200,"10","2019","Pacific Heights"
"182","10 2019 Portola",10000,1,10000,"10","2019","Portola"
"183","10 2019 Russian Hill",35000,2,17500,"10","2019","Russian Hill"
"184","10 2019 Sunset/Parkside",25000,1,25000,"10","2019","Sunset/Parkside"
"185","10 2019 Tenderloin",500,1,500,"10","2019","Tenderloin"
"186","10 2019 West of Twin Peaks",50769.5,4,12692.375,"10","2019","West of Twin Peaks"
"187","10 2019 Western Addition",0,1,0,"10","2019","Western Addition"
"188","10 2020 Bernal Heights",208000,2,104000,"10","2020","Bernal Heights"
"189","10 2020 Castro/Upper Market",102369,3,34123,"10","2020","Castro/Upper Market"
"190","10 2020 Chinatown",4025,1,4025,"10","2020","Chinatown"
"191","10 2020 Glen Park",45000,1,45000,"10","2020","Glen Park"
"192","10 2020 Haight Ashbury",86794,1,86794,"10","2020","Haight Ashbury"
"193","10 2020 Hayes Valley",20498.45,1,20498.45,"10","2020","Hayes Valley"
"194","10 2020 Inner Richmond",50000,1,50000,"10","2020","Inner Richmond"
"195","10 2020 Inner Sunset",21000,1,21000,"10","2020","Inner Sunset"
"196","10 2020 Lone Mountain/USF",111087.92,2,55543.96,"10","2020","Lone Mountain/USF"
"197","10 2020 Marina",100002,3,33334,"10","2020","Marina"
"198","10 2020 Mission",367617.08,6,61269.5133333333,"10","2020","Mission"
"199","10 2020 Nob Hill",56799.75,3,18933.25,"10","2020","Nob Hill"
"200","10 2020 North Beach",30000,2,15000,"10","2020","North Beach"
"201","10 2020 Outer Mission",35000,1,35000,"10","2020","Outer Mission"
"202","10 2020 Pacific Heights",12792,1,12792,"10","2020","Pacific Heights"
"203","10 2020 Russian Hill",30000,1,30000,"10","2020","Russian Hill"
"204","10 2020 Sunset/Parkside",105000,2,52500,"10","2020","Sunset/Parkside"
"205","10 2020 Twin Peaks",26034.36,1,26034.36,"10","2020","Twin Peaks"
"206","10 2020 Western Addition",40000,1,40000,"10","2020","Western Addition"
"207","10 2021 Bernal Heights",83300,3,27766.6666666667,"10","2021","Bernal Heights"
"208","10 2021 Castro/Upper Market",343000,4,85750,"10","2021","Castro/Upper Market"
"209","10 2021 Excelsior",166200,2,83100,"10","2021","Excelsior"
"210","10 2021 Glen Park",14828,1,14828,"10","2021","Glen Park"
"211","10 2021 Haight Ashbury",15000,1,15000,"10","2021","Haight Ashbury"
"212","10 2021 Inner Richmond",100715.74,2,50357.87,"10","2021","Inner Richmond"
"213","10 2021 Marina",40000,1,40000,"10","2021","Marina"
"214","10 2021 Mission",23900,1,23900,"10","2021","Mission"
"215","10 2021 Nob Hill",55000,2,27500,"10","2021","Nob Hill"
"216","10 2021 Noe Valley",125000,2,62500,"10","2021","Noe Valley"
"217","10 2021 North Beach",15000,1,15000,"10","2021","North Beach"
"218","10 2021 Outer Richmond",166000,5,33200,"10","2021","Outer Richmond"
"219","10 2021 Russian Hill",160796.46,2,80398.23,"10","2021","Russian Hill"
"220","10 2021 South of Market",8700,1,8700,"10","2021","South of Market"
"221","10 2021 Sunset/Parkside",226650,4,56662.5,"10","2021","Sunset/Parkside"
"222","10 2021 Visitacion Valley",22000,1,22000,"10","2021","Visitacion Valley"
"223","10 2021 West of Twin Peaks",102000,2,51000,"10","2021","West of Twin Peaks"
"224","11 2015 Bayview Hunters Point",12606.13,1,12606.13,"11","2015","Bayview Hunters Point"
"225","11 2015 Castro/Upper Market",25000,1,25000,"11","2015","Castro/Upper Market"
"226","11 2015 Lone Mountain/USF",25000,2,12500,"11","2015","Lone Mountain/USF"
"227","11 2015 Mission",210733.32,4,52683.33,"11","2015","Mission"
"228","11 2015 Noe Valley",80000,1,80000,"11","2015","Noe Valley"
"229","11 2015 North Beach",55000,1,55000,"11","2015","North Beach"
"230","11 2015 Oceanview/Merced/Ingleside",29000,1,29000,"11","2015","Oceanview/Merced/Ingleside"
"231","11 2015 Outer Richmond",142000,3,47333.3333333333,"11","2015","Outer Richmond"
"232","11 2015 Pacific Heights",69500,1,69500,"11","2015","Pacific Heights"
"233","11 2015 Potrero Hill",28000,1,28000,"11","2015","Potrero Hill"
"234","11 2015 Seacliff",45068.8,1,45068.8,"11","2015","Seacliff"
"235","11 2015 Sunset/Parkside",75000,2,37500,"11","2015","Sunset/Parkside"
"236","11 2015 Visitacion Valley",32500,1,32500,"11","2015","Visitacion Valley"
"237","11 2015 Western Addition",97000,2,48500,"11","2015","Western Addition"
"238","11 2016 Bernal Heights",40750,2,20375,"11","2016","Bernal Heights"
"239","11 2016 Castro/Upper Market",125000,2,62500,"11","2016","Castro/Upper Market"
"240","11 2016 Haight Ashbury",90000,1,90000,"11","2016","Haight Ashbury"
"241","11 2016 Hayes Valley",54757.13,2,27378.565,"11","2016","Hayes Valley"
"242","11 2016 Inner Sunset",182000,2,91000,"11","2016","Inner Sunset"
"243","11 2016 Lone Mountain/USF",35140,2,17570,"11","2016","Lone Mountain/USF"
"244","11 2016 Marina",198500,3,66166.6666666667,"11","2016","Marina"
"245","11 2016 Mission",NA,5,NA,"11","2016","Mission"
"246","11 2016 Nob Hill",43000,2,21500,"11","2016","Nob Hill"
"247","11 2016 Noe Valley",20000,1,20000,"11","2016","Noe Valley"
"248","11 2016 Outer Richmond",204550,4,51137.5,"11","2016","Outer Richmond"
"249","11 2016 Pacific Heights",93578.52,3,31192.84,"11","2016","Pacific Heights"
"250","11 2016 Portola",52140,1,52140,"11","2016","Portola"
"251","11 2016 Potrero Hill",42500,1,42500,"11","2016","Potrero Hill"
"252","11 2016 Russian Hill",40000,1,40000,"11","2016","Russian Hill"
"253","11 2016 Sunset/Parkside",146860.24,4,36715.06,"11","2016","Sunset/Parkside"
"254","11 2016 Twin Peaks",30000,1,30000,"11","2016","Twin Peaks"
"255","11 2016 Visitacion Valley",30000,1,30000,"11","2016","Visitacion Valley"
"256","11 2017 Bayview Hunters Point",75000,1,75000,"11","2017","Bayview Hunters Point"
"257","11 2017 Bernal Heights",17000,1,17000,"11","2017","Bernal Heights"
"258","11 2017 Castro/Upper Market",109000,3,36333.3333333333,"11","2017","Castro/Upper Market"
"259","11 2017 Chinatown",20000,1,20000,"11","2017","Chinatown"
"260","11 2017 Excelsior",22112,3,7370.66666666667,"11","2017","Excelsior"
"261","11 2017 Haight Ashbury",91068.8,4,22767.2,"11","2017","Haight Ashbury"
"262","11 2017 Hayes Valley",275000,3,91666.6666666667,"11","2017","Hayes Valley"
"263","11 2017 Marina",80985.54,1,80985.54,"11","2017","Marina"
"264","11 2017 McLaren Park",6800,1,6800,"11","2017","McLaren Park"
"265","11 2017 Noe Valley",277066,4,69266.5,"11","2017","Noe Valley"
"266","11 2017 North Beach",50000,1,50000,"11","2017","North Beach"
"267","11 2017 Oceanview/Merced/Ingleside",73676,2,36838,"11","2017","Oceanview/Merced/Ingleside"
"268","11 2017 Potrero Hill",136090,3,45363.3333333333,"11","2017","Potrero Hill"
"269","11 2017 Presidio Heights",55000,1,55000,"11","2017","Presidio Heights"
"270","11 2017 Sunset/Parkside",45743,3,15247.6666666667,"11","2017","Sunset/Parkside"
"271","11 2017 Twin Peaks",65000,1,65000,"11","2017","Twin Peaks"
"272","11 2017 Western Addition",10000,1,10000,"11","2017","Western Addition"
"273","11 2018 Bayview Hunters Point",9000,1,9000,"11","2018","Bayview Hunters Point"
"274","11 2018 Bernal Heights",15000,1,15000,"11","2018","Bernal Heights"
"275","11 2018 Castro/Upper Market",2e+05,1,2e+05,"11","2018","Castro/Upper Market"
"276","11 2018 Excelsior",35368.5,1,35368.5,"11","2018","Excelsior"
"277","11 2018 Hayes Valley",21209.76,1,21209.76,"11","2018","Hayes Valley"
"278","11 2018 Inner Richmond",15000,1,15000,"11","2018","Inner Richmond"
"279","11 2018 McLaren Park",35000,1,35000,"11","2018","McLaren Park"
"280","11 2018 Mission",172099,3,57366.3333333333,"11","2018","Mission"
"281","11 2018 Noe Valley",70000,2,35000,"11","2018","Noe Valley"
"282","11 2018 Oceanview/Merced/Ingleside",76000,3,25333.3333333333,"11","2018","Oceanview/Merced/Ingleside"
"283","11 2018 Outer Mission",20000,1,20000,"11","2018","Outer Mission"
"284","11 2018 Pacific Heights",10000,1,10000,"11","2018","Pacific Heights"
"285","11 2018 Potrero Hill",30000,1,30000,"11","2018","Potrero Hill"
"286","11 2018 Russian Hill",331866.64,4,82966.66,"11","2018","Russian Hill"
"287","11 2018 Sunset/Parkside",124555,4,31138.75,"11","2018","Sunset/Parkside"
"288","11 2018 Twin Peaks",50000,1,50000,"11","2018","Twin Peaks"
"289","11 2018 West of Twin Peaks",NA,3,NA,"11","2018","West of Twin Peaks"
"290","11 2019 Bayview Hunters Point",20000,1,20000,"11","2019","Bayview Hunters Point"
"291","11 2019 Bernal Heights",85000,1,85000,"11","2019","Bernal Heights"
"292","11 2019 Castro/Upper Market",257500,4,64375,"11","2019","Castro/Upper Market"
"293","11 2019 Excelsior",37000,2,18500,"11","2019","Excelsior"
"294","11 2019 Inner Sunset",46068.88,2,23034.44,"11","2019","Inner Sunset"
"295","11 2019 Marina",55594,2,27797,"11","2019","Marina"
"296","11 2019 Mission",456000,7,65142.8571428571,"11","2019","Mission"
"297","11 2019 Nob Hill",47000,1,47000,"11","2019","Nob Hill"
"298","11 2019 Noe Valley",142000,2,71000,"11","2019","Noe Valley"
"299","11 2019 North Beach",325000,1,325000,"11","2019","North Beach"
"300","11 2019 Outer Richmond",197000,3,65666.6666666667,"11","2019","Outer Richmond"
"301","11 2019 Pacific Heights",102517,3,34172.3333333333,"11","2019","Pacific Heights"
"302","11 2019 Portola",45000,1,45000,"11","2019","Portola"
"303","11 2019 Russian Hill",223014,2,111507,"11","2019","Russian Hill"
"304","11 2019 Sunset/Parkside",112000,2,56000,"11","2019","Sunset/Parkside"
"305","11 2019 Tenderloin",20034,1,20034,"11","2019","Tenderloin"
"306","11 2019 West of Twin Peaks",13945,1,13945,"11","2019","West of Twin Peaks"
"307","11 2020 Bernal Heights",NA,2,NA,"11","2020","Bernal Heights"
"308","11 2020 Excelsior",42130,1,42130,"11","2020","Excelsior"
"309","11 2020 Haight Ashbury",5000,1,5000,"11","2020","Haight Ashbury"
"310","11 2020 Inner Richmond",109955,3,36651.6666666667,"11","2020","Inner Richmond"
"311","11 2020 Mission",NA,10,NA,"11","2020","Mission"
"312","11 2020 Noe Valley",323975,2,161987.5,"11","2020","Noe Valley"
"313","11 2020 Pacific Heights",NA,1,NA,"11","2020","Pacific Heights"
"314","11 2020 Presidio Heights",65000,1,65000,"11","2020","Presidio Heights"
"315","11 2020 Russian Hill",50000,1,50000,"11","2020","Russian Hill"
"316","11 2020 South of Market",3400,1,3400,"11","2020","South of Market"
"317","11 2020 Sunset/Parkside",152075,6,25345.8333333333,"11","2020","Sunset/Parkside"
"318","11 2020 Tenderloin",14000,2,7000,"11","2020","Tenderloin"
"319","11 2020 Visitacion Valley",48000,1,48000,"11","2020","Visitacion Valley"
"320","11 2020 Western Addition",12311.54,3,4103.84666666667,"11","2020","Western Addition"
"321","11 2021 Castro/Upper Market",65000,1,65000,"11","2021","Castro/Upper Market"
"322","11 2021 Excelsior",18000,1,18000,"11","2021","Excelsior"
"323","11 2021 Hayes Valley",65976.15,2,32988.075,"11","2021","Hayes Valley"
"324","11 2021 Inner Richmond",199260,3,66420,"11","2021","Inner Richmond"
"325","11 2021 Inner Sunset",19000,1,19000,"11","2021","Inner Sunset"
"326","11 2021 Mission",200335,5,40067,"11","2021","Mission"
"327","11 2021 Noe Valley",94745,2,47372.5,"11","2021","Noe Valley"
"328","11 2021 North Beach",51600,3,17200,"11","2021","North Beach"
"329","11 2021 Oceanview/Merced/Ingleside",50000,2,25000,"11","2021","Oceanview/Merced/Ingleside"
"330","11 2021 Outer Richmond",40000,1,40000,"11","2021","Outer Richmond"
"331","11 2021 Potrero Hill",181280,1,181280,"11","2021","Potrero Hill"
"332","11 2021 Sunset/Parkside",177600,4,44400,"11","2021","Sunset/Parkside"
"333","11 2021 Visitacion Valley",25000,1,25000,"11","2021","Visitacion Valley"
"334","11 2021 West of Twin Peaks",46105,1,46105,"11","2021","West of Twin Peaks"
"335","12 2015 Castro/Upper Market",240373.86,4,60093.465,"12","2015","Castro/Upper Market"
"336","12 2015 Mission",322991.03,7,46141.5757142857,"12","2015","Mission"
"337","12 2015 Nob Hill",8000,1,8000,"12","2015","Nob Hill"
"338","12 2015 Noe Valley",54000,1,54000,"12","2015","Noe Valley"
"339","12 2015 Outer Mission",7000,1,7000,"12","2015","Outer Mission"
"340","12 2015 Outer Richmond",8000,1,8000,"12","2015","Outer Richmond"
"341","12 2015 Pacific Heights",25000,2,12500,"12","2015","Pacific Heights"
"342","12 2015 Russian Hill",20000,1,20000,"12","2015","Russian Hill"
"343","12 2015 Sunset/Parkside",27000,1,27000,"12","2015","Sunset/Parkside"
"344","12 2015 Twin Peaks",10000,1,10000,"12","2015","Twin Peaks"
"345","12 2015 Visitacion Valley",16560,1,16560,"12","2015","Visitacion Valley"
"346","12 2015 Western Addition",8586,1,8586,"12","2015","Western Addition"
"347","12 2016 Castro/Upper Market",11780,1,11780,"12","2016","Castro/Upper Market"
"348","12 2016 Excelsior",40000,2,20000,"12","2016","Excelsior"
"349","12 2016 Haight Ashbury",64633,1,64633,"12","2016","Haight Ashbury"
"350","12 2016 Hayes Valley",52333.16,1,52333.16,"12","2016","Hayes Valley"
"351","12 2016 Lone Mountain/USF",155000,2,77500,"12","2016","Lone Mountain/USF"
"352","12 2016 Mission",102500,2,51250,"12","2016","Mission"
"353","12 2016 Nob Hill",25000,1,25000,"12","2016","Nob Hill"
"354","12 2016 Noe Valley",348314.7,4,87078.675,"12","2016","Noe Valley"
"355","12 2016 Outer Richmond",35000,1,35000,"12","2016","Outer Richmond"
"356","12 2016 Potrero Hill",91993,2,45996.5,"12","2016","Potrero Hill"
"357","12 2016 Presidio Heights",35040,1,35040,"12","2016","Presidio Heights"
"358","12 2016 Russian Hill",25000,1,25000,"12","2016","Russian Hill"
"359","12 2016 Sunset/Parkside",7000,1,7000,"12","2016","Sunset/Parkside"
"360","12 2016 West of Twin Peaks",26000,2,13000,"12","2016","West of Twin Peaks"
"361","12 2017 Castro/Upper Market",158500,5,31700,"12","2017","Castro/Upper Market"
"362","12 2017 Chinatown",285000,1,285000,"12","2017","Chinatown"
"363","12 2017 Excelsior",30000,1,30000,"12","2017","Excelsior"
"364","12 2017 Glen Park",60000,1,60000,"12","2017","Glen Park"
"365","12 2017 Hayes Valley",20000,1,20000,"12","2017","Hayes Valley"
"366","12 2017 Inner Richmond",41000,1,41000,"12","2017","Inner Richmond"
"367","12 2017 Inner Sunset",8181,1,8181,"12","2017","Inner Sunset"
"368","12 2017 Japantown",10203.48,1,10203.48,"12","2017","Japantown"
"369","12 2017 Marina",114600,2,57300,"12","2017","Marina"
"370","12 2017 Mission",106500,4,26625,"12","2017","Mission"
"371","12 2017 Nob Hill",60000,1,60000,"12","2017","Nob Hill"
"372","12 2017 Outer Richmond",49000,3,16333.3333333333,"12","2017","Outer Richmond"
"373","12 2017 Pacific Heights",90520.59,1,90520.59,"12","2017","Pacific Heights"
"374","12 2017 Potrero Hill",40000,1,40000,"12","2017","Potrero Hill"
"375","12 2017 Russian Hill",2e+05,1,2e+05,"12","2017","Russian Hill"
"376","12 2017 South of Market",475,1,475,"12","2017","South of Market"
"377","12 2017 Sunset/Parkside",60000,2,30000,"12","2017","Sunset/Parkside"
"378","12 2017 Tenderloin",60000,1,60000,"12","2017","Tenderloin"
"379","12 2018 Bayview Hunters Point",16000,1,16000,"12","2018","Bayview Hunters Point"
"380","12 2018 Bernal Heights",32000,1,32000,"12","2018","Bernal Heights"
"381","12 2018 Castro/Upper Market",18750,1,18750,"12","2018","Castro/Upper Market"
"382","12 2018 Excelsior",53700,2,26850,"12","2018","Excelsior"
"383","12 2018 Haight Ashbury",24500,1,24500,"12","2018","Haight Ashbury"
"384","12 2018 Inner Sunset",15000,1,15000,"12","2018","Inner Sunset"
"385","12 2018 Marina",12000,1,12000,"12","2018","Marina"
"386","12 2018 Mission",279916,4,69979,"12","2018","Mission"
"387","12 2018 Nob Hill",27651.96,3,9217.32,"12","2018","Nob Hill"
"388","12 2018 Outer Richmond",85000,2,42500,"12","2018","Outer Richmond"
"389","12 2018 Presidio Heights",52200,1,52200,"12","2018","Presidio Heights"
"390","12 2018 South of Market",15000,1,15000,"12","2018","South of Market"
"391","12 2018 Sunset/Parkside",91550,3,30516.6666666667,"12","2018","Sunset/Parkside"
"392","12 2018 Western Addition",168500,2,84250,"12","2018","Western Addition"
"393","12 2019 Bernal Heights",50000,1,50000,"12","2019","Bernal Heights"
"394","12 2019 Excelsior",30634,2,15317,"12","2019","Excelsior"
"395","12 2019 Haight Ashbury",150000,2,75000,"12","2019","Haight Ashbury"
"396","12 2019 Inner Richmond",40000,2,20000,"12","2019","Inner Richmond"
"397","12 2019 Marina",72175,2,36087.5,"12","2019","Marina"
"398","12 2019 Mission",219322,4,54830.5,"12","2019","Mission"
"399","12 2019 Noe Valley",504640,5,100928,"12","2019","Noe Valley"
"400","12 2019 North Beach",60000,1,60000,"12","2019","North Beach"
"401","12 2019 Oceanview/Merced/Ingleside",10000,1,10000,"12","2019","Oceanview/Merced/Ingleside"
"402","12 2019 Outer Mission",4000,1,4000,"12","2019","Outer Mission"
"403","12 2019 Outer Richmond",1e+05,2,50000,"12","2019","Outer Richmond"
"404","12 2019 Pacific Heights",20939,1,20939,"12","2019","Pacific Heights"
"405","12 2019 Portola",55000,2,27500,"12","2019","Portola"
"406","12 2019 Russian Hill",63900,2,31950,"12","2019","Russian Hill"
"407","12 2019 Sunset/Parkside",50000,1,50000,"12","2019","Sunset/Parkside"
"408","12 2019 West of Twin Peaks",12000,1,12000,"12","2019","West of Twin Peaks"
"409","12 2020 Bayview Hunters Point",NA,3,NA,"12","2020","Bayview Hunters Point"
"410","12 2020 Bernal Heights",NA,3,NA,"12","2020","Bernal Heights"
"411","12 2020 Castro/Upper Market",200305,3,66768.3333333333,"12","2020","Castro/Upper Market"
"412","12 2020 Chinatown",30000,1,30000,"12","2020","Chinatown"
"413","12 2020 Excelsior",30000,1,30000,"12","2020","Excelsior"
"414","12 2020 Financial District/South Beach",10000,1,10000,"12","2020","Financial District/South Beach"
"415","12 2020 Glen Park",30000,1,30000,"12","2020","Glen Park"
"416","12 2020 Haight Ashbury",55850.82,3,18616.94,"12","2020","Haight Ashbury"
"417","12 2020 Inner Sunset",12600,1,12600,"12","2020","Inner Sunset"
"418","12 2020 Mission",130000,4,32500,"12","2020","Mission"
"419","12 2020 Outer Richmond",37000,1,37000,"12","2020","Outer Richmond"
"420","12 2020 Pacific Heights",25410,1,25410,"12","2020","Pacific Heights"
"421","12 2020 Presidio Heights",29000,1,29000,"12","2020","Presidio Heights"
"422","12 2020 Seacliff",20000,1,20000,"12","2020","Seacliff"
"423","12 2020 Sunset/Parkside",15000,1,15000,"12","2020","Sunset/Parkside"
"424","12 2020 Tenderloin",7500,2,3750,"12","2020","Tenderloin"
"425","12 2020 Visitacion Valley",65000,1,65000,"12","2020","Visitacion Valley"
"426","12 2020 West of Twin Peaks",101000,1,101000,"12","2020","West of Twin Peaks"
"427","12 2021 Bayview Hunters Point",36000,1,36000,"12","2021","Bayview Hunters Point"
"428","12 2021 Bernal Heights",60000,1,60000,"12","2021","Bernal Heights"
"429","12 2021 Castro/Upper Market",35000,1,35000,"12","2021","Castro/Upper Market"
"430","12 2021 Excelsior",13500,1,13500,"12","2021","Excelsior"
"431","12 2021 Haight Ashbury",31137,2,15568.5,"12","2021","Haight Ashbury"
"432","12 2021 Inner Richmond",56000,1,56000,"12","2021","Inner Richmond"
"433","12 2021 Marina",199000,2,99500,"12","2021","Marina"
"434","12 2021 Mission",140000,1,140000,"12","2021","Mission"
"435","12 2021 North Beach",150000,1,150000,"12","2021","North Beach"
"436","12 2021 Outer Richmond",150000,2,75000,"12","2021","Outer Richmond"
"437","12 2021 Potrero Hill",75000,1,75000,"12","2021","Potrero Hill"
"438","12 2021 Presidio Heights",40000,1,40000,"12","2021","Presidio Heights"
"439","12 2021 Russian Hill",129000,2,64500,"12","2021","Russian Hill"
"440","12 2021 Sunset/Parkside",NA,4,NA,"12","2021","Sunset/Parkside"
"441","12 2021 Twin Peaks",20000,1,20000,"12","2021","Twin Peaks"
"442","12 2021 Visitacion Valley",18500,1,18500,"12","2021","Visitacion Valley"
"443","12 2021 West of Twin Peaks",142120,3,47373.3333333333,"12","2021","West of Twin Peaks"
"444","2 2016 Bernal Heights",68520.42,2,34260.21,"2","2016","Bernal Heights"
"445","2 2016 Castro/Upper Market",60000,1,60000,"2","2016","Castro/Upper Market"
"446","2 2016 Hayes Valley",45500,2,22750,"2","2016","Hayes Valley"
"447","2 2016 Mission",155361.14,3,51787.0466666667,"2","2016","Mission"
"448","2 2016 Nob Hill",5000,1,5000,"2","2016","Nob Hill"
"449","2 2016 Noe Valley",80000,3,26666.6666666667,"2","2016","Noe Valley"
"450","2 2016 North Beach",49385.96,2,24692.98,"2","2016","North Beach"
"451","2 2016 Pacific Heights",150000,1,150000,"2","2016","Pacific Heights"
"452","2 2016 Potrero Hill",60000,1,60000,"2","2016","Potrero Hill"
"453","2 2016 Sunset/Parkside",120500,3,40166.6666666667,"2","2016","Sunset/Parkside"
"454","2 2016 Visitacion Valley",16560,1,16560,"2","2016","Visitacion Valley"
"455","2 2017 Bayview Hunters Point",32000,2,16000,"2","2017","Bayview Hunters Point"
"456","2 2017 Bernal Heights",24320,1,24320,"2","2017","Bernal Heights"
"457","2 2017 Inner Sunset",60750,1,60750,"2","2017","Inner Sunset"
"458","2 2017 Japantown",12500,1,12500,"2","2017","Japantown"
"459","2 2017 Lone Mountain/USF",50000,1,50000,"2","2017","Lone Mountain/USF"
"460","2 2017 Mission",170000,3,56666.6666666667,"2","2017","Mission"
"461","2 2017 Noe Valley",290355,3,96785,"2","2017","Noe Valley"
"462","2 2017 Outer Richmond",179258.67,4,44814.6675,"2","2017","Outer Richmond"
"463","2 2017 Pacific Heights",128500,2,64250,"2","2017","Pacific Heights"
"464","2 2017 Russian Hill",140053,2,70026.5,"2","2017","Russian Hill"
"465","2 2017 Sunset/Parkside",157400,3,52466.6666666667,"2","2017","Sunset/Parkside"
"466","2 2018 Castro/Upper Market",77700,1,77700,"2","2018","Castro/Upper Market"
"467","2 2018 Hayes Valley",70000,1,70000,"2","2018","Hayes Valley"
"468","2 2018 Inner Sunset",35000,2,17500,"2","2018","Inner Sunset"
"469","2 2018 Marina",20000,1,20000,"2","2018","Marina"
"470","2 2018 Mission",23300,3,7766.66666666667,"2","2018","Mission"
"471","2 2018 Noe Valley",140000,1,140000,"2","2018","Noe Valley"
"472","2 2018 North Beach",1e+05,2,50000,"2","2018","North Beach"
"473","2 2018 Pacific Heights",63300,1,63300,"2","2018","Pacific Heights"
"474","2 2018 Potrero Hill",NA,1,NA,"2","2018","Potrero Hill"
