Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B171988,08/03/2017,,,,,,2919 22nd Street,94110,9,Mission,POINT (-122.41264785573554 37.75578381152343),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B153124,,11/10/2015,"12,606.13",,,1,1447 Newcomb Avenue,94124,10,Bayview Hunters Point,POINT (-122.38695925748112 37.73359055209069),100,86,2,9,1,1,3,8,10,58,2,,,,86
B161098,03/18/2016,05/17/2016,"15,000.00",,true,2,53 Pearl Street,94103,8,Mission,POINT (-122.42386644283988 37.77047446277523),100,27,1,5,20,19,2,5,8,"28,853",2,,,,27
B172057,08/09/2017,08/24/2018,"15,000.00",,,1,759 06th Avenue,94118,1,Inner Richmond,POINT (-122.46384918215743 37.77435618116678),100,5,8,4,11,11,6,2,11,54,1,,,,5
B211098,07/28/2021,10/15/2021,"5,000.00",,,1,655 Stockton Street,94108,3,Nob Hill,POINT (-122.40747590735671 37.79181479068557),100,16,6,3,21,21,1,10,5,"28,857",1,,,,16
B220556,03/28/2022,05/24/2022,"10,000.00",,,2,1215 Jamestown Avenue,94124,10,Bayview Hunters Point,POINT (-122.39752760514395 37.72068656771708),100,88,2,9,1,1,3,8,10,58,2,,,,88
B220008,01/06/2022,,,,,,1538 Palou Avenue,94124,10,Bayview Hunters Point,POINT (-122.38979869924381 37.73338217812071),100,86,2,9,1,1,3,8,10,58,2,,,,86
B172084,08/15/2017,,,,,,242 Divisadero Street,94117,5,Haight Ashbury,POINT (-122.43694061944176 37.771108283445294),100,26,4,11,3,9,5,11,15,"29,492",1,,,,26
B182007,07/06/2018,10/03/2018,"200,000.00",,true,1,2424 Gough Street,94123,2,Pacific Heights,POINT (-122.42673565138769 37.79560500367343),100,102,4,6,30,27,9,1,13,"28,858",1,,,,102
B211190,08/17/2021,02/04/2022,"35,000.00",,,2,229 Judson Avenue,94112,7,West of Twin Peaks,POINT (-122.44727714689685 37.72824738140965),100,95,9,8,41,40,7,4,9,"28,861",1,,,,95
B162720,08/22/2016,11/21/2016,"10,640.00",,,3,1532 Fulton Street,94117,2,Lone Mountain/USF,POINT (-122.44208267653045 37.776393483057014),100,97,7,11,18,16,5,11,15,"29,492",1,,,,97
B170253,02/09/2017,06/19/2017,"81,435.08",,,2,676 Castro Street,94114,8,Castro/Upper Market,POINT (-122.43478460855438 37.75809867598051),100,115,3,5,5,3,4,5,2,"28,862",1,,,,115
B211355,09/28/2021,04/21/2022,"52,000.00",,true,3,509 Randolph Street,94132,11,Oceanview/Merced/Ingleside,POINT (-122.4672757226786 37.71424979860403),100,65,10,1,24,24,8,6,9,64,2,,,,65
B220149,01/25/2022,,,,,,26 Farallones Street,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45321613788362 37.71412859813492),100,81,10,1,24,24,8,6,9,"28,861",2,,,,81
B161471,04/27/2016,05/05/2016,"21,597.00",,,2,2106 26th Avenue,94116,4,Sunset/Parkside,POINT (-122.48354757344303 37.74812776778334),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B181300,04/24/2018,07/23/2018,"85,000.00",,true,2,448 14th Street,94103,9,Mission,POINT (-122.42330095846856 37.768106177514234),100,37,3,5,20,19,4,5,8,"28,853",2,,,,37
B180346,02/01/2018,,,,,,1520 Masonic Avenue,94117,8,Haight Ashbury,POINT (-122.44428140682288 37.76610115233492),100,112,7,5,3,9,5,5,15,"29,492",1,,,,112
B221691,08/05/2022,,,,,,2632 Wawona Street,94116,4,Sunset/Parkside,POINT (-122.49499393980453 37.7366198557115),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B191261,06/07/2019,,,,,,3256 Folsom Street,94110,9,Bernal Heights,POINT (-122.41350303912257 37.745977795655676),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B192846,10/11/2019,12/04/2019,"20,939.00",,true,3,1966 Pacific Avenue,94109,2,Pacific Heights,POINT (-122.42760163413871 37.794292622951566),100,102,4,6,30,27,9,1,13,"28,858",1,,,,102
B163879,12/22/2016,,,,,,3039 california Street,94115,2,Presidio Heights,POINT (-122.44442566373169 37.787541214281305),100,103,8,6,31,31,6,1,13,"29,490",1,,,,103
B163565,11/15/2016,01/19/2017,"7,500.00",,,1,2635 Sacramento Street,94115,2,Pacific Heights,POINT (-122.43628629052884 37.78953114334905),100,102,4,6,30,27,6,1,13,"29,490",1,,,,102
B192950,10/24/2019,12/26/2019,"45,000.00",,,2,1972 Union Street,94123,2,Marina,POINT (-122.4317901918954 37.797593620850755),100,15,4,6,13,17,9,1,13,57,1,,,,15
B172935,11/17/2017,,,,,,748 Page Street,94117,5,Haight Ashbury,POINT (-122.43310528898881 37.77275825536279),100,26,4,11,3,9,5,11,15,"29,492",1,,,,26
B160292,02/04/2016,,,,,,414 Texas Street,94107,10,Potrero Hill,POINT (-122.39546142676447 37.76111524023878),100,54,2,9,26,29,3,8,10,"28,856",1,,,,54
B200648,05/08/2020,,,,,,1566 Green Street,94123,2,Marina,POINT (-122.42487977042164 37.79751291342802),100,15,4,6,13,17,9,1,13,57,1,,,,15
B200428,02/18/2020,,,,,,903 North POint Street,94109,2,Russian Hill,POINT (-122.42215583938022 37.80545694591264),100,98,6,6,32,32,1,1,5,"28,858",1,,,,98
B191751,07/23/2019,08/09/2019,"15,500.00",,,1,744 Dartmouth Street,94134,9,Portola,POINT (-122.40982074301157 37.72142037929128),100,91,2,2,25,28,3,7,9,309,1,,,,91
B171017,04/18/2017,,,,,,1304 Francisco Street,94123,2,Marina,POINT (-122.42675391037447 37.803008229502964),100,17,4,6,13,17,9,1,13,57,1,,,,17
B211137,08/12/2021,,,,,,262 Missouri Street,94107,10,Potrero Hill,POINT (-122.39661943476598 37.76307334087507),100,54,2,9,26,29,3,8,14,"28,856",1,,,,54
B162785,08/30/2016,11/15/2016,"24,500.00",,,1,421 Lyon Street,94117,5,Lone Mountain/USF,POINT (-122.44285130590897 37.774603271217025),100,24,7,11,18,16,5,11,15,"29,492",1,,,,24
B170537,03/02/2017,08/18/2017,"3,000.00",,,1,1985 San Jose Avenue,94112,11,Outer Mission,POINT (-122.44276671403588 37.72531491312141),100,94,9,1,28,25,7,6,9,"28,861",1,,,,94
B171751,07/03/2017,,,,,,20 Romolo Place,94133,3,North Beach,POINT (-122.40625987964388 37.798161017994616),90.92,106,6,3,23,23,1,10,3,308,2,,,,106
B211272,09/01/2021,12/10/2021,"26,137.00",,,1,1503 Waller Street,94117,8,Haight Ashbury,POINT (-122.44854458334272 37.76882412734072),100,29,7,11,3,9,5,11,15,"29,492",1,,,,29
B191660,07/12/2019,09/05/2019,"55,353.11",,,2,972 Harrison Street,94107,6,South of Market,POINT (-122.40339237139099 37.777861804758224),100,32,1,10,34,34,2,9,14,"28,856",2,,,,32
B163185,09/30/2016,,,,,,837 Union Street,94133,3,Russian Hill,POINT (-122.41311450802363 37.799930443277475),100,107,6,3,32,32,1,10,3,308,1,,,,107
B211040,07/23/2021,05/10/2022,"15,000.00",,true,1,3435 Cesar Chavez Street,94110,9,Bernal Heights,POINT (-122.41897791888638 37.74807107134142),100,83,3,2,2,2,4,7,2,"28,859",1,,,,83
B153060,11/03/2015,12/04/2017,"30,000.00",,,2,647 Vienna Street,94112,11,Excelsior,POINT (-122.43212115190602 37.71817208783197),100,90,9,1,7,5,7,6,9,"28,861",2,,,,90
B191307,06/11/2019,08/30/2019,"50,000.00",,,2,381 day Street,94131,8,Noe Valley,POINT (-122.43055423445718 37.742637680249054),100,84,9,5,22,22,7,5,2,63,1,,,,84
B210469,04/07/2021,,,,,,2060 Golden Gate Avenue,94115,2,Lone Mountain/USF,POINT (-122.44450965755753 37.77799986032743),100,97,7,11,18,16,5,11,15,"29,490",1,,,,97
B211640,11/08/2021,,,,,,3525 Cabrillo Street,94121,1,Outer Richmond,POINT (-122.49644584284925 37.77386091694846),100,8,8,4,29,26,6,2,11,55,1,,,,8
B180328,01/31/2018,09/04/2018,"35,000.00",,,1,1290 Grove Street,94117,5,Hayes Valley,POINT (-122.43777819517838 37.77598629937515),100,23,4,11,9,10,5,11,15,"29,492",1,,,,23
B192278,09/09/2019,,,,,,1555 Oak Street,94117,5,Haight Ashbury,POINT (-122.44495323360628 37.77215658353115),100,25,7,11,3,9,5,11,15,"29,492",1,,,,25
B221885,09/29/2022,,,,,,8300 Geary Boulevard,94121,1,Outer Richmond,POINT (-122.50842918750223 37.779040528606835),100,6,8,4,29,26,6,2,11,55,1,,,,6
B161408,04/21/2016,,,,,,2130 Steiner Street,94115,2,Pacific Heights,POINT (-122.43557861809764 37.78926971114765),100,102,4,6,30,27,9,1,13,"29,490",1,,,,102
B220963,05/11/2022,,,,,,94 Cameo Way,94131,8,Noe Valley,POINT (-122.44307487827932 37.74498962282974),100,57,9,5,22,22,7,5,2,63,1,,,,57
B163452,10/28/2016,02/27/2017,"50,000.00",,,3,1728 Cabrillo Street,94121,1,Outer Richmond,POINT (-122.47719918446077 37.774794583963285),100,5,8,4,29,26,6,2,11,55,1,,,,5
B151694,07/07/2015,,,,,,150 Ellert Street,94110,9,Bernal Heights,POINT (-122.41721311082341 37.73833370322419),100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B210411,03/23/2021,,,,,,71 Santa Marina Street,94110,9,Bernal Heights,POINT (-122.42166003749044 37.74008854443008),100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B181015,03/29/2018,,,,,,175 Brighton Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45517195433716 37.72136350838379),100,64,10,1,24,24,8,6,9,"28,861",2,,,,64
B162928,09/16/2016,05/03/2021,"30,013.05",,true,2,240 Bowdoin Street,94134,9,Portola,POINT (-122.41300864229112 37.73116697178471),100,91,2,2,25,28,3,7,9,309,2,,,,91
B201510,10/22/2020,12/10/2020,,true,,2,1781 Revere Avenue,94124,10,Bayview Hunters Point,POINT (-122.39344100537248 37.733488458613074),100,87,2,9,1,1,3,8,10,58,2,,,,87
B200641,05/06/2020,,,,,2,334 03rd Avenue,94118,1,Inner Richmond,POINT (-122.46113444826167 37.782397843414216),100,5,8,4,11,11,6,2,11,54,1,,,,5
B181598,05/11/2018,,,,,,1822 30th Avenue,94122,4,Sunset/Parkside,POINT (-122.48821295222335 37.7532585547744),100,39,10,7,35,35,8,3,1,56,1,,,,39
B170843,03/28/2017,,,,,,120 Ellis Street,94102,3,Tenderloin,POINT (-122.4082291970915 37.785477781579594),100,19,5,3,36,36,10,10,14,"28,852",2,1,,,19
B162198,06/28/2016,,,,,,445 O’Farrell Street,94102,5,Tenderloin,POINT (-122.41201727661554 37.78588853444768),100,20,5,10,36,36,10,9,14,"28,852",2,1,,,20
B162176,06/24/2016,,,,,,28 Winfield Street,94110,9,Bernal Heights,POINT (-122.41706335420596 37.74494620631806),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B172400,09/20/2017,,,,,,1000 Vicente Street,94116,4,Sunset/Parkside,POINT (-122.47770229682973 37.739257128391266),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B172457,09/27/2017,11/13/2017,"17,000.00",,true,1,54 Fair Avenue,94110,9,Bernal Heights,POINT (-122.41913256686573 37.74526041409528),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B200662,05/15/2020,07/07/2020,"27,000.00",,,2,1554 28th Avenue,94122,4,Sunset/Parkside,POINT (-122.486420037192 37.75839471647511),100,39,10,7,35,35,8,3,1,56,1,,,,39
B182161,07/19/2018,,,,,,1591 Page Street,94117,5,Haight Ashbury,POINT (-122.44690708880022 37.77094207062401),100,25,7,11,3,9,5,11,15,"29,492",1,,,,25
B192345,09/12/2019,11/19/2019,"32,068.88",,,1,203 Carl Street,94117,8,Inner Sunset,POINT (-122.45290731036754 37.76540311127074),100,110,7,11,14,12,5,11,15,"29,492",1,,,,110
B200431,02/19/2020,,,,,,92 28th Street,94110,8,Noe Valley,POINT (-122.42431078447161 37.74548265952531),100,84,9,5,22,22,7,5,2,"28,859",1,,,,84
B183036,10/29/2018,,,,,,1161 Alabama Street,94110,9,Mission,POINT (-122.41100497115997 37.753333239825864),100,53,3,2,20,19,4,7,2,"28,859",1,,,,53
B160098,,01/13/2016,"23,000.00",,,1,255 Steiner Street,94117,5,Haight Ashbury,POINT (-122.43207991466119 37.77160401688146),100,26,4,11,3,9,9,11,15,"29,492",1,,,,26
B191911,08/06/2019,,,,,,713 Lake Street,94118,1,Inner Richmond,POINT (-122.4670578547312 37.786549363521246),100,5,8,4,11,11,6,2,11,54,1,,,,5
B220673,04/20/2022,,,,,,357 Wilde Avenue,94134,10,Visitacion Valley,POINT (-122.40393329604491 37.71681022378874),100,75,9,9,40,39,7,8,9,309,2,,,,75
B200445,02/25/2020,,,,,,52 Maynard Street,94112,11,Excelsior,POINT (-122.42951020498717 37.729199465350526),100,94,9,1,7,5,7,6,9,"28,861",2,,,,94
B172606,10/17/2017,,,,,,4005 California Street,94118,1,Inner Richmond,POINT (-122.4604622769805 37.785498136127444),100,5,8,4,11,11,6,2,11,54,1,,,,5
B181847,06/15/2018,,,,,,1203 05th Avenue,94122,7,Inner Sunset,POINT (-122.46220050487594 37.76598682086825),100,109,7,11,14,12,5,11,11,56,1,,,,109
B172601,10/17/2017,,,,,,486 44th Avenue,94121,1,Outer Richmond,POINT (-122.50509029088349 37.77946863292484),100,6,8,4,29,26,6,2,11,55,1,,,,6
B181987,07/02/2018,,,,,,36 Prague Street,94112,11,Excelsior,POINT (-122.42532331564463 37.721497169635064),100,90,9,1,7,5,7,6,9,"28,861",2,,,,90
B171766,07/10/2017,,,,,,1262 Vermont Street,94110,10,Mission,POINT (-122.40349813117031 37.75367371812972),100,54,3,9,20,19,4,8,10,"28,859",1,,,,54
B201499,10/16/2020,,,,,,323 Noe Street,94114,8,Castro/Upper Market,POINT (-122.43304277902102 37.76379873060794),100,38,3,5,5,3,4,5,15,"28,862",1,,,,38
B211791,11/23/2021,,,,,,2092 California Street,94109,2,Pacific Heights,POINT (-122.42872482807874 37.789590686796664),100,102,4,6,30,27,9,1,13,"28,858",1,,,,102
B171862,07/21/2017,,,,,,1016 Washington Street,94108,3,Chinatown,POINT (-122.41020378254841 37.794707501291576),100,16,6,3,6,4,1,10,3,"28,857",2,,,,16
B163380,10/21/2016,01/09/2017,"12,000.00",,,2,179 Burnside Avenue,94131,8,West of Twin Peaks,POINT (-122.4386863983312 37.733637403372455),100,95,9,5,41,40,7,5,9,63,1,,,,95
B201719,11/30/2020,,,,,,1312 California Street,94109,3,Nob Hill,POINT (-122.41596561930174 37.7912098227136),100,16,6,3,21,21,1,10,13,"28,858",1,,,,16
B171405,05/31/2017,08/29/2017,"20,000.00",,,4,443 austin Street,94109,5,Pacific Heights,POINT (-122.4260539172589 37.788423232495084),100,100,4,11,30,27,9,11,13,"28,858",1,,,,100
B210526,04/13/2021,05/16/2022,"170,000.00",,,1,3653 Webster Street,94123,2,Marina,POINT (-122.43531480284904 37.80431387703296),100,17,4,6,13,17,9,1,13,57,1,,,,17
B220773,05/05/2022,,,,,,375 Euclid Avenue,94118,2,Presidio Heights,POINT (-122.4523776007607 37.78406397741622),100,11,8,6,31,31,6,1,15,54,1,,,,11
B170180,01/31/2017,07/26/2019,"100,000.00",,,4,1457 South Van Ness Avenue,94110,9,Mission,POINT (-122.41600069948619 37.749877253512956),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B181123,04/05/2018,,,,,,233 Connecticut Street,94107,10,Potrero Hill,POINT (-122.3975506423505 37.763354069387866),100,54,2,9,26,29,3,8,14,"28,856",1,,,,54
B171688,06/26/2017,08/25/2017,0.00,,,1,307 Crestmont Drive,94131,7,Inner Sunset,POINT (-122.46011489449984 37.75743054765901),100,111,7,8,14,12,5,4,1,63,1,,,,111
B210787,06/03/2021,08/30/2021,"7,300.00",,,1,1225 20th Avenue,94122,4,Sunset/Parkside,POINT (-122.47833595980936 37.764895173683435),100,39,10,7,35,35,8,3,1,56,1,,,,39
B193073,11/08/2019,,,,,,1611 washington Street,94109,3,Russian Hill,POINT (-122.41984467205057 37.79341254772699),100,105,4,3,32,32,9,10,13,"28,858",1,,,,105
B210952,,06/17/2021,"117,528.77",,,2,1758 Great Highway,94122,4,Sunset/Parkside,POINT (-122.50851471561081 37.75361425210264),100,39,10,7,35,35,8,3,1,56,1,,,,39
B190574,03/19/2019,,,,,,724 20th Avenue,94121,1,Outer Richmond,POINT (-122.47891460954241 37.77418458076033),100,8,8,4,29,26,6,2,11,55,1,,,,8
B192075,08/23/2019,10/31/2019,"60,000.00",,,3,406 Faxon Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.46020426073717 37.72202975086963),100,64,10,8,24,24,8,4,9,"28,861",2,,,,64
B170733,03/20/2017,09/07/2018,"70,000.00",,,1,643 Webster Street,94117,5,Hayes Valley,POINT (-122.42975121241734 37.77665235530214),100,22,4,11,9,10,9,11,7,"29,492",1,,,,22
B183237,11/28/2018,,,,,,646 Ellis Street,94109,5,Tenderloin,POINT (-122.41686478657499 37.784379540491834),100,20,5,10,36,36,10,9,7,"28,858",2,1,,,20
B171320,05/15/2017,,,,,,3099 Washington Street,94115,2,Pacific Heights,POINT (-122.44419603241774 37.79031928382802),100,102,8,6,30,27,6,1,13,"29,490",1,,,,102
B172353,09/13/2017,11/21/2017,"9,000.00",,,3,129 Saturn Street,94114,8,Castro/Upper Market,POINT (-122.44353482042484 37.76261530138433),100,112,7,5,5,3,5,5,15,"28,862",1,,,,112
B191534,07/09/2019,07/30/2021,"90,000.00",,,2,378 Corbett Avenue,94114,8,Castro/Upper Market,POINT (-122.44604776518332 37.75925257997429),100,115,7,5,5,3,5,5,2,"28,862",1,,,,115
B192827,10/02/2019,,,,,,1670 Newcomb Avenue,94124,10,Bayview Hunters Point,POINT (-122.39104339990635 37.73597645398889),100,86,2,9,1,1,3,8,10,58,2,,,,86
B152265,08/19/2015,11/24/2015,"105,733.32",,,4,1165 Shotwell Street,94110,9,Mission,POINT (-122.41489625820904 37.74982715658295),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B201670,11/23/2020,06/23/2021,"56,000.00",,,3,711 Hampshire Street,94110,9,Potrero Hill,POINT (-122.40802387554507 37.76040431722585),100,53,3,9,20,19,4,8,10,"28,859",2,,,,53
B191039,05/13/2019,,,,,,625 Scott Street,94117,5,Hayes Valley,POINT (-122.43623134516447 37.77548018040248),100,23,4,11,9,10,5,11,15,"29,492",1,,,,23
B163808,12/13/2016,,,,,,316 Grafton Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45639055217222 37.72006454317097),100,64,10,1,24,24,8,6,9,"28,861",2,,,,64
B161824,05/25/2016,07/28/2016,"15,000.00",,,2,4418 23rd Street,94114,8,Noe Valley,POINT (-122.44118279487141 37.75250358134349),100,51,3,5,22,22,4,5,2,"28,862",1,,,,51
B151545,06/23/2015,09/23/2015,"15,000.00",,,1,551 Page Street,94117,5,Hayes Valley,POINT (-122.42983183647065 37.77311996852089),100,26,4,11,9,10,9,11,7,"29,492",1,,,,26
B190579,03/21/2019,12/02/2019,"60,000.00",,,2,739 40th Avenue,94121,1,Outer Richmond,POINT (-122.50051106233559 37.77482839204389),100,8,8,4,29,26,6,2,11,55,1,,,,8
B201238,08/31/2020,,,,,,761 Paris Street,94112,11,Excelsior,POINT (-122.43840882643103 37.717062111834224),100,90,9,1,7,5,7,6,9,"28,861",2,,,,90
B191949,,08/12/2019,"23,268.00",,,2,18 Wayne Place,94133,3,Chinatown,POINT (-122.41091942232347 37.79663469831173),100,107,6,3,6,4,1,10,3,308,2,,,,107
B170613,03/07/2017,06/05/2018,"17,964.80",,,3,333 san jose Avenue,94110,8,Mission,POINT (-122.42134786567024 37.74973617591472),100,53,3,5,20,19,4,5,2,"28,859",1,,,,53
B221136,05/24/2022,,,,,,757 Natoma Street,94103,6,South of Market,POINT (-122.41302724436146 37.77595632586816),100,32,1,10,34,34,2,9,8,"28,853",2,1,,1,32
B183326,12/10/2018,02/05/2019,"50,000.00",,true,1,3322 Judah Street,94122,4,Sunset/Parkside,POINT (-122.49767127719103 37.76082178996188),100,39,10,7,35,35,8,3,1,56,1,,,,39
B182393,08/08/2018,10/05/2018,"57,000.00",,,3,1374 46th Avenue,94122,4,Sunset/Parkside,POINT (-122.50594264413405 37.76093242199474),100,39,10,7,35,35,8,3,1,56,1,,,,39
B172857,11/09/2017,,,,,,2425 Buchanan Street,94115,2,Pacific Heights,POINT (-122.43118956935857 37.792270273870336),100,102,4,6,30,27,9,1,13,"29,490",1,,,,102
B181501,05/08/2018,07/10/2018,"193,750.00",,,1,56 Mason Street,94102,3,Tenderloin,POINT (-122.40918921274312 37.78386498910406),100,19,5,10,36,36,10,9,14,"28,852",2,1,,1,19
B162347,07/14/2016,,,,,,655 Stockton Street,94108,3,Nob Hill,POINT (-122.40747590735671 37.79181479068557),100,16,6,3,21,21,1,10,5,"28,857",1,,,,16
B160822,02/23/2016,,,,,,115 Bartlett Street,94110,9,Mission,POINT (-122.41980929114588 37.75508053819139),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B210943,07/07/2021,,,,,,638 45th Avenue,94121,1,Outer Richmond,POINT (-122.5059463366822 37.77645256480815),100,6,8,4,29,26,6,2,11,55,1,,,,6
B192841,10/11/2019,,,,,,988 Capp Street,94110,9,Mission,POINT (-122.41727107936318 37.75094287437003),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B161116,03/23/2016,,,,,,315 Park Street,94110,9,Bernal Heights,POINT (-122.4188519706048 37.73645739814618),100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B181728,05/31/2018,07/25/2018,"6,000.00",,,1,14 Isis Street,94103,6,Mission,POINT (-122.41449177902692 37.770435502102266),100,32,1,10,20,19,2,9,8,"28,853",2,,,,32
B193194,12/09/2019,,,,,,13 Surrey Street,94131,8,Glen Park,POINT (-122.43276140730343 37.73495964487418),100,96,9,5,10,7,7,5,2,63,1,,,,96
B183407,12/19/2018,,,,,,770 shotwell Street,94110,9,Mission,POINT (-122.41556781218054 37.756132167243656),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B190751,04/02/2019,,,,,,850 treat Avenue,94110,9,Mission,POINT (-122.41341622932441 37.75655311764417),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B151452,06/12/2015,,,,,,150 Downey Street,94117,8,Haight Ashbury,POINT (-122.44699442662578 37.76621666765612),100,114,7,11,3,9,5,11,15,"29,492",1,,,,114
B153059,11/03/2015,03/11/2016,"20,000.00",,,2,647 Vienna Street,94112,11,Excelsior,POINT (-122.43212115190602 37.71817208783197),100,90,9,1,7,5,7,6,9,"28,861",2,,,,90
B191768,07/26/2019,,,,,,205 Collins Street,94118,2,Lone Mountain/USF,POINT (-122.45011147593058 37.781979870017715),100,12,8,4,18,16,6,2,15,54,1,,,,12
B161418,04/25/2016,,,,,,334 San Miguel Street,94112,11,Oceanview/Merced/Ingleside,POINT (-122.44877198217607 37.719413077498494),100,81,10,1,24,24,8,6,9,"28,861",2,,,,81
B151008,04/27/2015,,,,,,1149 Diamond Street,94114,8,Noe Valley,POINT (-122.43600837186301 37.74837585176453),100,84,3,5,22,22,4,5,2,"28,862",1,,,,84
B211103,07/30/2021,,,,,,139 Glenview Drive,94131,8,Twin Peaks,POINT (-122.44766415764786 37.748682324693604),100,48,7,5,38,38,5,5,2,63,1,,,,48
B172947,11/21/2017,10/20/2020,"60,000.00",,,4,3479 Mission Street,94110,9,Bernal Heights,POINT (-122.42265217701227 37.74128491910827),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B183235,11/28/2018,,,,,,646 Ellis Street,94109,5,Tenderloin,POINT (-122.41686478657499 37.784379540491834),100,20,5,10,36,36,10,9,7,"28,858",2,1,,,20
B171095,04/24/2017,06/21/2017,"23,867.22",,,2,2736 43rd Avenue,94116,4,Sunset/Parkside,POINT (-122.50096286668624 37.7358875695428),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B161099,03/18/2016,,,,,,2038 Palou Avenue,94124,10,Bayview Hunters Point,POINT (-122.39911688409533 37.73866490759029),100,87,2,9,1,1,3,8,10,58,2,,,,87
B170861,03/30/2017,,,,,,1340 Lombard Street,94109,3,Russian Hill,POINT (-122.42361505688575 37.8014997479583),100,107,4,6,32,32,9,1,5,"28,858",1,,,,107
B190318,02/11/2019,07/11/2019,"85,000.00",,,1,318 San Jose Avenue,94110,8,Mission,POINT (-122.42144963967712 37.75008595570671),100,53,3,5,20,19,4,5,2,"28,859",1,,,,53
B201528,10/29/2020,,,,,,2341 Market Street,94114,8,Castro/Upper Market,POINT (-122.43387956825491 37.7634733421831),100,38,3,5,5,3,4,5,15,"28,862",1,,,,38
B162669,08/18/2016,,,,,,130 Majestic Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45234746807257 37.716507160026715),100,81,10,1,24,24,8,6,9,"28,861",2,,,,81
B191250,06/05/2019,08/21/2019,"85,000.00",,,3,1625 Larkin Street,94109,3,Russian Hill,POINT (-122.41950127246794 37.79285311878874),100,105,6,3,32,32,9,10,13,"28,858",1,,,,105
B191178,05/24/2019,07/07/2020,"65,000.00",,,2,3369 21st Street,94110,9,Mission,POINT (-122.42261989822683 37.75679020078534),100,52,3,5,20,19,4,5,2,"28,859",1,,,,52
B181201,04/10/2018,06/20/2018,"20,704.00",,true,2,366 San Carlos Street,94110,9,Mission,POINT (-122.41978894701992 37.757543505444836),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B220003,01/04/2022,03/16/2022,"30,000.00",,,2,1950 Pierce Street,94115,2,Pacific Heights,POINT (-122.43701351984794 37.78802735421496),100,103,4,6,30,27,6,1,13,"29,490",1,,,,103
B220025,01/18/2022,,,,,,3280 20th Street,94110,9,Mission,POINT (-122.41426867879858 37.75895427327196),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B180311,01/31/2018,,,,,,1051 Post Street,94109,3,Tenderloin,POINT (-122.41912192141453 37.78690913661444),100,50,4,10,36,36,9,9,13,"28,858",2,,,,50
B152473,09/10/2015,,,,,,220 16th Avenue,94118,1,Outer Richmond,POINT (-122.47531851818572 37.783892674674526),100,5,8,4,29,26,6,2,11,54,1,,,,5
B170872,04/04/2017,,,,,,219 Cumberland Street,94114,8,Castro/Upper Market,POINT (-122.42860085661327 37.758840360071886),100,52,3,5,5,3,4,5,2,"28,862",1,,,,52
B173047,12/08/2017,,,,,,5600 Fulton Street,94121,1,Outer Richmond,POINT (-122.49181654680393 37.772254248821596),100,8,8,4,29,26,6,2,11,55,1,,,,8
B172872,11/13/2017,11/15/2017,"12,562.00",,,2,566 London Street,94112,11,Excelsior,POINT (-122.43719754707126 37.720204634797625),100,90,9,1,7,5,7,6,9,"28,861",2,,,,90
B173027,12/01/2017,12/01/2017,475.00,,true,3,1286 Folsom Street,94103,6,South of Market,POINT (-122.4113971346155 37.77399113367247),100,32,1,10,34,34,2,9,8,"28,853",2,,,1,32
B191758,07/25/2019,,,,,,646 Lombard Street,94133,3,North Beach,POINT (-122.41218645050016 37.80296790103718),100,106,6,3,23,23,1,10,3,308,1,,,,106
