Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B210319,03/10/2021,,,,,,937 Stanyan Street,94117,8,Inner Sunset,POINT (-122.45291980386041 37.76600904162749),100,110,7,11,14,12,5,11,15,"29,492",1,,,,110
B221696,08/10/2022,,,,,,251 Harold Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45315125387474 37.722578779851744),100,64,10,8,24,24,8,4,9,"28,861",2,,,,64
B192170,08/23/2019,08/23/2019,"70,000.00",,true,1,2615 Sutter Street,94115,5,Presidio Heights,POINT (-122.44350599644426 37.7847648039145),100,103,8,11,31,31,6,11,15,"29,490",1,,,,103
B180433,02/12/2018,,,,,,3222 Anza Street,94121,1,Outer Richmond,POINT (-122.4827713270828 37.7782810775633),100,8,8,4,29,26,6,2,11,55,1,,,,8
B151199,,05/14/2015,"30,000.00",,,4,2742 Harrison Street,94110,9,Mission,POINT (-122.41203006018858 37.7535340070985),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B150772,04/09/2015,06/25/2015,"3,000.00",,,2,70 Terra Vista Avenue,94115,2,Lone Mountain/USF,POINT (-122.44287677289292 37.781502975232875),100,13,7,6,18,16,5,1,15,"29,490",1,,,,13
B161825,05/25/2016,07/27/2016,"3,000.00",,true,1,2562 Sutter Street,94115,2,Pacific Heights,POINT (-122.44256699427545 37.78493895707257),100,103,8,6,30,27,6,1,15,"29,490",1,,,,103
B163176,10/03/2016,,,,,,2044 Powell Street,94133,3,North Beach,POINT (-122.41145653216344 37.80346966963025),100,106,6,3,23,23,1,10,3,308,1,,,,106
B190798,04/16/2019,06/18/2019,"20,000.00",,,2,1872 Mcallister Street,94115,2,Lone Mountain/USF,POINT (-122.44285118351456 37.77725817511121),100,97,7,11,18,16,5,11,15,"29,490",1,,,,97
B191757,07/25/2019,,,,,,642 Lombard Street,94133,3,North Beach,POINT (-122.41212843120081 37.80297517018292),100,106,6,3,23,23,1,10,3,308,1,,,,106
B201443,10/09/2020,01/06/2021,"5,000.00",,true,1,4535 California Street,94118,1,Inner Richmond,POINT (-122.46604286915739 37.78477883574678),100,5,8,4,11,11,6,2,11,54,1,,,,5
B210888,07/01/2021,09/22/2021,"95,860.15",,,2,67 Mirabel Avenue,94110,9,Bernal Heights,POINT (-122.41608580431664 37.74666243627433),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B221570,07/28/2022,,,,,,789 Buena Vista Avenue,94117,8,Haight Ashbury,POINT (-122.44341351007863 37.76872907395972),100,112,7,5,3,9,5,5,15,"29,492",1,,,,112
B192436,09/19/2019,,,,,,625 Scott Street,94117,5,Hayes Valley,POINT (-122.43623134516447 37.77548018040248),100,23,4,11,9,10,5,11,15,"29,492",1,,,,23
B162864,09/12/2016,02/06/2017,"57,400.00",,,3,1627 24th Avenue,94122,4,Sunset/Parkside,POINT (-122.48210020924903 37.757198961849184),100,39,10,7,35,35,8,3,1,56,1,,,,39
B172291,09/06/2017,,,,,,117 Sanchez Street,94114,8,Castro/Upper Market,POINT (-122.43114196825354 37.76730594180566),100,28,7,5,5,3,9,5,15,"28,862",1,,,,28
B162799,09/07/2016,,,,,,2460 21st Avenue,94116,4,Sunset/Parkside,POINT (-122.47773549258211 37.74184039075291),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B220670,04/18/2022,06/06/2022,"8,000.00",,,1,1170 Guerrero Street,94110,8,Mission,POINT (-122.42301231745176 37.75246466284274),100,52,3,5,20,19,4,5,2,"28,859",1,,,,52
B171161,05/04/2017,,,,,,1517 Golden Gate Avenue,94115,5,Western Addition,POINT (-122.43559274412412 37.77907979497099),100,97,4,11,39,41,5,11,15,"29,490",2,,,,97
B210627,05/06/2021,08/26/2021,"120,000.00",,true,1,2146 28th Avenue,94116,4,Sunset/Parkside,POINT (-122.48564510761223 37.747344969419274),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B152474,09/14/2015,11/19/2015,"5,000.00",,,1,40 adair Street,94103,9,Mission,POINT (-122.41801366535977 37.76575652297046),100,53,3,2,20,19,4,7,8,"28,853",2,,,,53
