"","nhood","city","county","price","beds","baths","sqft","room_in_apt","address","lat","lon","d"
"3132","bayview","san francisco","san francisco",3995,4,NA,2000,0,NA,NA,NA,2014-09-07
"3139","bayview","san francisco","san francisco",2200,3,1,1200,0,NA,NA,NA,2012-02-26
"3146","bayview","san francisco","san francisco",2400,1,1,650,0,NA,NA,NA,2016-08-27
"3151","bayview","san francisco","san francisco",1300,NA,NA,600,0,NA,NA,NA,2011-11-14
"3153","bayview","san francisco","san francisco",4400,4,3,1930,0,NA,NA,NA,2016-09-10
"3160","bayview","san francisco","san francisco",2900,3,NA,1500,0,NA,NA,NA,2012-03-04
"3164","bayview","san francisco","san francisco",2995,2,NA,970,0,NA,NA,NA,2015-11-13
"3167","bayview","san francisco","san francisco",6000,4,2.5,3200,0,NA,NA,NA,2016-10-08
"3175","bayview","san francisco","san francisco",3000,2,2,1700,0,NA,NA,NA,2012-02-03
"3176","bayview","san francisco","san francisco",3119,1,NA,1032,0,NA,NA,NA,2015-03-16
"3187","bayview","san francisco","san francisco",1175,1,NA,600,0,NA,NA,NA,2011-11-25
"3207","bayview","san francisco","san francisco",2300,2,2,1200,0,NA,NA,NA,2011-12-09
"3208","bayview","san francisco","san francisco",4350,3,2,1374,0,NA,NA,NA,2017-12-14
"3210","bayview","san francisco","san francisco",3306,1,NA,844,0,NA,NA,NA,2015-06-02
"3212","bayview","san francisco","san francisco",2400,3,1,1500,0,NA,37.73336,NA,2013-12-29
"3216","bayview","san francisco","san francisco",3025,1,NA,844,0,"1946",37.711366,-122.391925,2015-06-23
"3242","bayview","san francisco","san francisco",4295,2,NA,1606,0,NA,NA,NA,2015-04-07
"3243","bayview","san francisco","san francisco",2990,2,2,875,0,NA,NA,NA,2015-11-13
"3244","bayview","san francisco","san francisco",1100,NA,NA,150,0,NA,NA,NA,2015-11-20
"3245","bayview","san francisco","san francisco",3300,2,NA,1073,0,NA,NA,NA,2015-11-20
"3246","bayview","san francisco","san francisco",1677,3,NA,1665,0,NA,NA,NA,2012-06-15
