"...1","X","buyout_amount","address","nhood","long","lat","month","year","centroid_lat","centroid_long"
2219,5538,30000,"77 Blake Street","Presidio Heights",-122.45125179333,37.7824104872762,1,2020,37.788849,-122.452228
2220,5539,96785,"3936 26th Street","Glen Park/Noe Valley",-122.42798544535,37.7484768608189,2,2017,37.747095,-122.431421
2221,5543,25000,"2534 Lake Street","Seacliff",-122.48664231226,37.7857107259282,6,2021,37.785975,-122.489522
2222,5545,21200,"1342 Rhode Island Street","Potrero Hill",-122.401469666715,37.7527372299135,7,2020,37.759056,-122.398618
2223,5547,12770,"79 los palmos Drive","West of Twin Peaks",-122.44720008886,37.7349632717793,4,2019,37.737955,-122.460363
2224,5548,60000,"1100 Leavenworth Street","Nob Hill",-122.415747640241,37.7913044873715,12,2017,37.793044,-122.414461
2225,5552,160000,"2127 Lawton Street","Sunset/Parkside",-122.485656439708,37.7575523695576,8,2016,37.749026,-122.493742
2226,5554,87500,"649 San Jose Avenue","Bernal Heights",-122.422128281608,37.7456299163124,7,2017,37.741391,-122.414033
2227,5560,42000,"1442 Funston Avenue","Inner Sunset",-122.470387417147,37.7611819606823,4,2017,37.762068,-122.467189
2228,5561,23500,"533 06th Avenue","Inner Richmond",-122.464146055354,37.7784568840809,6,2022,37.778849,-122.468955
2229,5564,1e+05,"628 09th Avenue","Inner Richmond",-122.467158535407,37.7765229216498,9,2018,37.778849,-122.468955
2230,5570,40000,"221 Clayton Street","Lone Mountain/USF",-122.449325287236,37.7732799384133,7,2021,37.777975,-122.452816
2231,5571,32750,"85 Cortland Avenue","Bernal Heights",-122.42123641126,37.7404052861009,11,2016,37.741391,-122.414033
2232,5572,20000,"76 Lyell Street","Excelsior/Outer Mission",-122.431624763844,37.7314148631382,6,2016,37.709585,-122.455082
2233,5574,60000,"1601 lombard Street","Marina",-122.427898370289,37.8008106222318,6,2017,37.802877,-122.436969
2234,5575,17250,"437 OAK Street","Haight Ashbury/Hayes Valley",-122.426535111973,37.774496007177,6,2016,37.776425,-122.426235
2235,5580,35307,"525 42nd Avenue","Outer Richmond",-122.502956191517,37.7787443125307,5,2015,37.776683,-122.489908
2236,5584,10000,"327 Fillmore Street","Haight Ashbury/Hayes Valley",-122.430541251773,37.7723974948782,7,2020,37.776425,-122.426235
2237,5585,12600,"1833 11th Avenue","Inner Sunset",-122.467772466025,37.7539902361089,12,2020,37.762068,-122.467189
2238,5588,4000,"2121 Laguna Street","Pacific Heights",-122.429185987702,37.7906922360664,5,2016,37.792182,-122.432784
2239,5590,56600,"1060 Prague Street","Excelsior/Outer Mission",-122.437900884998,37.7101331067235,7,2017,37.7223,-122.431224
2240,5592,22500,"634 Powell Street","Nob Hill",-122.408852806834,37.7905945305911,9,2021,37.793044,-122.414461
2241,5593,36000,"955 Innes Avenue","Bayview Hunters Point",-122.376890404353,37.7326036253204,12,2021,37.730696,-122.388515
2242,5598,34000,"2226 California Street","Pacific Heights",-122.431058839632,37.7892939232129,5,2020,37.792182,-122.432784
2243,5599,12500,"77 Glover Street","Nob Hill",-122.416512645464,37.7971087721846,10,2015,37.793044,-122.414461
2244,5605,18316.2,"1971 30th Avenue","Sunset/Parkside",-122.488088351668,37.7505644281545,4,2019,37.749026,-122.493742
2245,5606,1e+05,"374 Douglass Street","Twin Peaks",-122.439088884369,37.7575083216185,3,2016,37.753375,-122.445652
2246,5607,10000,"1601 35th Avenue","Sunset/Parkside",-122.493918536656,37.7571248068341,4,2022,37.749026,-122.493742
2247,5612,50000,"2027 43rd Avenue","Sunset/Parkside",-122.501939164365,37.7488430982704,9,2018,37.749026,-122.493742
