"","x"
"1","Bernal Heights"
"2","Excelsior"
"3","Glen Park"
"4","Inner Richmond"
"5","Inner Sunset"
"6","Japantown"
"7","Lakeshore"
"8","Lincoln Park"
"9","North Beach"
"10","Oceanview/Merced/Ingleside"
"11","Outer Mission"
"12","Outer Richmond"
"13","Portola"
"14","Seacliff"
"15","Sunset/Parkside"
"16","Twin Peaks"
"17","Visitacion Valley"
"18","West of Twin Peaks"
