"","x"
"1","Excelsior/Outer Mission"
"2","Inner Sunset"
"3","Lakeshore"
"4","Lincoln Park"
"5","North Beach"
"6","Oceanview/Merced/Ingleside"
"7","Portola"
"8","Seacliff"
"9","Sunset/Parkside"
"10","Twin Peaks"
"11","West of Twin Peaks"
